LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_EDI@BEEP,DEFECT@WAFER@CLASS_EDI@BLOCKED_HM_ETCH,DEFECT@WAFER@CLASS_EDI@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_EDI@BLURRY_IMAGE,DEFECT@WAFER@CLASS_EDI@BROKEN_PATTERN,DEFECT@WAFER@CLASS_EDI@DENT,DEFECT@WAFER@CLASS_EDI@DOME,DEFECT@WAFER@CLASS_EDI@FALLEN_LINES,DEFECT@WAFER@CLASS_EDI@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_EDI@LARGE_PARTICLE,DEFECT@WAFER@CLASS_EDI@MINI,DEFECT@WAFER@CLASS_EDI@NVD_FALSE,DEFECT@WAFER@CLASS_EDI@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_EDI@PATTERN,DEFECT@WAFER@CLASS_EDI@RESIDUE,DEFECT@WAFER@CLASS_EDI@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_EDI@SCRATCH,DEFECT@WAFER@CLASS_EDI@SIZE_SMALL,DEFECT@WAFER@CLASS_EDI@SMALL_PARTICLE,DEFECT@WAFER@CLASS_EDI@WAFER_TOTAL,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT
D521920,34,KHQMU034WFD2,0,0,0,0,0,0,0.0906823424,0,0,0,0,0,0,0,0,0,2.4895897503,4.7756377736,0,7.3559098663,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:03:39 AM,8M5CL,D1D,1,6752124
D521920,87,KHQMU087WFB5,0,0,0,0,0,0,0.2952147918,0.7842167263,5.2934291938,0,0,0,0,0,0,4.4805333829,0,12.84982222,0,22.489386902,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:02:43 AM,8M5CL,D1D,2,6752021
D521920,154,KHQMU154WFE0,0,0,0,0,0,0,0,1.1761376338,1.4825722518,0,0,0,0,0,0,6.1005481702,0,1.6893164321,0,10.448572363,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:01:52 AM,8M5CL,D1D,3,6752035
D521920,563,KHQ9E563WFB1,0,0,0,0,0,0,0.3181280962,1.7226991046,2.7879002321,0,0,0,0,0,0,5.3320089832,44.791666319,6.16011541,0,59.702579439,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:02:01 AM,8M5CL,D1D,4,6752017
D521920,565,KHQ9E565WFC2,0,0,0,0,0,0,0.1802309247,0,1.9920513547,0,0,0,0,0,0,0,10.510704717,1.2205005107,0,13.903487507,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:01:24 AM,8M5CL,D1D,5,6752032
D521920,576,KHQ9E576WFD5,0,0,0,0,0,0,1.4242119497,1.1741039591,0.8663326835,0,0,0,0,0,0,2.650179927,0.9021589345,4.8970483673,1.092714469,13.006752415,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:01:27 AM,8M5CL,D1D,6,6752094
D521920,612,KHQ9E612WFD0,1.2585683994,0,0,0,0,0,0.2328079426,0,1.4673165037,0,0,0,0,0,0,1.9698700421,0,4.4675668657,0,9.3961297536,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:01:22 AM,8M5CL,D1D,7,6752089
D521920,636,KHQ9E636WFG7,0,0,0,0,0,0,0,1.1658948834,0,0,0,0,0,0,0,5.0690373228,0,21.577992249,0,26.069174817,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:01:03 AM,8M5CL,D1D,8,6752070
D521920,672,KHQ9E672WFA4,0,0,0,0,0,0,0.4292604963,1.0178998896,1.2831063744,0,0,0,0,0,0,1.6505278586,0,4.2936674885,0,8.6744621074,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:00:45 AM,8M5CL,D1D,9,6752028
D521920,677,KHQ9E677WFH0,0,0,0,0,0,0,0.6074101699,2.3340879624,0.6458187409,0,0,0,0,0,0,5.1749503308,0,4.3926170071,2.2039405644,15.117353304,D5219200,PNCB,08/24/2025 6:03:58 PM,BPD432,8M5CL,8M5CL,02/16/2026 1:00:46 AM,8M5CL,D1D,10,6752100
