WAFER_KEY,INSPECTION_TIME,DEFECT_ID,LOT_old,LOT_new,WAFER_ID_old,WAFER_ID_new,LAYER_old,LAYER_new,CLASS_old,CLASS_new,MANUAL_OPTICAL_CLASS_old,MANUAL_OPTICAL_CLASS_new,LOT7_old,LOT7_new,ACTUAL_LOT_old,ACTUAL_LOT_new,YYMM_old,YYMM_new,change_type,lookback_days,logged_at
8418066,2026-08-20 00:55:53,4088,D6158760,D6158760,A2AT4026SLG1,A2AT4026SLG1,8M5CL,8M5CL,SMALL_PARTICLE,BEEP,0.0,0.0,D615876,D615876,D6158760,D6158760,2608.0,2608.0,class_changed,210,2026-08-21 07:28:25
8418066,2026-08-20 00:55:53,546,D6158760,D6158760,A2AT4026SLG1,A2AT4026SLG1,8M5CL,8M5CL,SMALL_PARTICLE,BEEP,0.0,0.0,D615876,D615876,D6158760,D6158760,2608.0,2608.0,class_changed,210,2026-08-21 07:28:25
8418098,2026-08-20 00:55:53,3838,D6158760,D6158760,A2AFY006SLF7,A2AFY006SLF7,8M5CL,8M5CL,SMALL_PARTICLE,BEEP,0.0,0.0,D615876,D615876,D6158760,D6158760,2608.0,2608.0,class_changed,210,2026-08-21 07:28:25
9149668,2026-08-19 16:57:43,18855,D6164630V,D6164630V,HJ4EP556JKH2,HJ4EP556JKH2,8M6CL,8M6CL,SMALL_PARTICLE,BEEP,0.0,0.0,D616463,D616463,D6164630V,D6164630V,2608.0,2608.0,class_changed,210,2026-08-21 07:28:25
8599217,2026-08-22 02:09:13,19,D6204300,D6204300,MCQJW722WAD7,MCQJW722WAD7,8M5CL,8M5CL,BEEP,SMALL_PARTICLE,0.0,0.0,D620430,D620430,D6204300,D6204300,2608.0,2608.0,class_changed,210,2026-08-23 07:28:21
8610294,2026-08-20 11:36:32,23899,D6208640,D6208640,A2HE8010SLE6,A2HE8010SLE6,8M6CL,8M6CL,BEEP,SMALL_PARTICLE,0.0,0.0,D620864,D620864,D6208640,D6208640,2608.0,2608.0,class_changed,210,2026-08-24 07:28:36
8524632,2026-08-25 17:00:34,28,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,445,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,451,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,458,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,475,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,476,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524632,2026-08-25 17:00:34,478,,D6182090,,MCR4E890WAG6,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,1,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,106,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,110,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,126,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,181,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,182,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,197,D6182090,D6182090,MCR4E915WAF7,MCR4E915WAF7,8M6CL,8M6CL,BEEP,SMALL_PARTICLE,0.0,0.0,D618209,D618209,D6182090,D6182090,2608.0,2608.0,class_changed,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,198,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
8524736,2026-08-25 17:00:34,203,,D6182090,,MCR4E915WAF7,,8M6CL,,SMALL_PARTICLE,,0.0,,D618209,,D6182090,,2608.0,added_by_backfill,210,2026-08-26 10:58:44
