DEVICE,N Rows,N(MISSING),N(PRESENT),"Min(INSPECT_TIME, MISSING)","Min(INSPECT_TIME, PRESENT)"
PD5B,20,0,20,,2026/06/01 11:50:25 PM
PNCB,4067,0,4067,,2025/05/27 9:31:29 AM
PR8B,78,0,78,,2026/03/29 6:56:39 AM
PXMG,3968,0,3968,,2025/03/22 10:47:00 PM
PXSA,1059,314,745,2025/01/01 10:30:52 AM,2025/01/29 12:31:46 AM
PXSB,334,47,287,2025/03/04 7:28:08 AM,2025/02/22 5:45:15 PM
PYZA,211,82,129,2025/01/28 9:47:48 PM,2025/01/20 11:13:54 PM
PYZB,23,0,23,,2025/08/25 7:42:13 PM
X78C,82,66,16,2025/05/11 12:11:57 AM,2025/03/06 10:47:22 PM
X78D,1033,496,537,2025/02/09 5:41:13 AM,2025/04/07 12:59:45 AM
X78D2,11,11,0,2025/09/10 1:14:07 AM,
X78E,109,0,109,,2026/02/17 9:26:50 AM
