SOURCE_LAYER,LOT,WAFER_ID,LAYER,INSPECT_TIME,METRIC_TYPE,COMPONENT,OLD_VALUE,NEW_VALUE,LONG_NCDD_BEEP,LONG_NCDD_SMP,LONG_EDI_BEEP,LONG_EDI_SMP,LOGGED_AT
M5,D6182390,HP4KF604JKF7,8M5CL,2026-07-28 08:53:35,NCDD,SMALL_PARTICLE,0.01128,0.010978,0.0,0.010978,0.0,1.876845,2026-08-19 10:06:27
M5,D6182390,HP4KF604JKF7,8M5CL,2026-07-28 08:53:35,EDI,SMALL_PARTICLE,2.000084,1.876845,0.0,0.010978,0.0,1.876845,2026-08-19 10:06:27
M5,D6204300,MCQJW722WAD7,8M5CL,2026-08-22 02:09:13,NCDD,BEEP,0.0,0.003584,0.003584,0.010751,0.897314,2.638335,2026-08-23 07:28:50
M5,D6214830,A2GUA152SLG1,8M5CL,2026-08-22 08:15:43,NCDD,BEEP,0.003758,0.0,0.0,0.007515,0.0,1.707019,2026-08-23 07:28:50
M5,D6182150,KJEYH222WFF0,8M5CL,2026-08-22 01:05:13,NCDD,SMALL_PARTICLE,0.0,0.003659,0.0,0.003659,0.0,0.846709,2026-08-23 07:28:50
M5,D6204300,MCQJW722WAD7,8M5CL,2026-08-22 02:09:13,NCDD,SMALL_PARTICLE,0.014334,0.010751,0.003584,0.010751,0.897314,2.638335,2026-08-23 07:28:50
M5,D6214830,A2GUA152SLG1,8M5CL,2026-08-22 08:15:43,NCDD,SMALL_PARTICLE,0.003758,0.007515,0.0,0.007515,0.0,1.707019,2026-08-23 07:28:50
M5,D6204300,MCQJW722WAD7,8M5CL,2026-08-22 02:09:13,EDI,BEEP,0.0,0.897314,0.003584,0.010751,0.897314,2.638335,2026-08-23 07:28:50
M5,D6214830,A2GUA152SLG1,8M5CL,2026-08-22 08:15:43,EDI,BEEP,2.560774,0.0,0.0,0.007515,0.0,1.707019,2026-08-23 07:28:50
M5,D6182150,KJEYH222WFF0,8M5CL,2026-08-22 01:05:13,EDI,SMALL_PARTICLE,0.0,0.846709,0.0,0.003659,0.0,0.846709,2026-08-23 07:28:50
M5,D6204300,MCQJW722WAD7,8M5CL,2026-08-22 02:09:13,EDI,SMALL_PARTICLE,2.888094,2.638335,0.003584,0.010751,0.897314,2.638335,2026-08-23 07:28:50
M5,D6214830,A2GUA152SLG1,8M5CL,2026-08-22 08:15:43,EDI,SMALL_PARTICLE,0.548155,1.707019,0.0,0.007515,0.0,1.707019,2026-08-23 07:28:50
M5,D6181980,A2GFE052SLA3,8M5CL,2026-08-23 11:04:28,NCDD,BEEP,0.007167,0.003584,0.003584,0.007167,1.119224,1.318909,2026-08-24 07:28:59
M5,D6182460,KJEYC014WFB4,8M5CL,2026-08-23 09:21:58,NCDD,BEEP,0.007319,0.0,0.0,0.003659,0.0,0.410425,2026-08-24 07:28:59
M5,D6182460,KJEYC036WFE2,8M5CL,2026-08-23 09:21:58,NCDD,BEEP,0.003659,0.0,0.0,0.005489,0.0,1.100693,2026-08-24 07:28:59
M5,D6182460,KJEYC039WFC2,8M5CL,2026-08-23 09:21:58,NCDD,BEEP,0.003692,0.0,0.0,0.0,0.0,0.0,2026-08-24 07:28:59
M5,D6182460,KJEYC014WFB4,8M5CL,2026-08-23 09:21:58,NCDD,SMALL_PARTICLE,0.0,0.003659,0.0,0.003659,0.0,0.410425,2026-08-24 07:28:59
M5,D6181980,A2GFE052SLA3,8M5CL,2026-08-23 11:04:28,EDI,BEEP,1.673387,1.119224,0.003584,0.007167,1.119224,1.318909,2026-08-24 07:28:59
M5,D6182460,KJEYC014WFB4,8M5CL,2026-08-23 09:21:58,EDI,BEEP,2.260308,0.0,0.0,0.003659,0.0,0.410425,2026-08-24 07:28:59
M5,D6182460,KJEYC036WFE2,8M5CL,2026-08-23 09:21:58,EDI,BEEP,1.240372,0.0,0.0,0.005489,0.0,1.100693,2026-08-24 07:28:59
M5,D6182460,KJEYC039WFC2,8M5CL,2026-08-23 09:21:58,EDI,BEEP,0.761689,0.0,0.0,0.0,0.0,0.0,2026-08-24 07:28:59
M5,D6182460,KJEYC014WFB4,8M5CL,2026-08-23 09:21:58,EDI,SMALL_PARTICLE,0.0,0.410425,0.0,0.003659,0.0,0.410425,2026-08-24 07:28:59
M6,D602107B,KJ7KQ348WFD2,8M6CL,2026-07-09 20:58:59,EDI,SMALL_PARTICLE,0.455756,0.450831,0.0,0.004819,0.0,0.450831,2026-08-25 07:28:52
