feature,importance
FULLPM_RF,0.054802642573433286
FULLPM,0.05103389144063655
FL_SP_05_RATE,0.044757769747752904
CH_SS_15_N,0.040771707600707495
MINIPM,0.03611559029692945
FL_15_AWAF,0.03602054983600265
MINIPM_RF,0.035000615273042365
FL_05_AWAF,0.033377138063091005
FL_15_MWAF,0.03152874791925422
CH_SP_05_RATE,0.03079173380683298
UPT_12HRS,0.028189285997459384
UP_12HRS,0.02765414171213329
CH_05_NWAF,0.0276512696318401
FL_SP_15_RATE,0.027648117535154823
FL_BP_15_RATE,0.024351649849405937
FL_BP_05_RATE,0.02317896502017678
CF_SP_15_RRAT,0.0229121826301281
CH_05_AWAF,0.022884459419325244
FL_15_NWAF,0.0227782356460543
CF_BP_15_RRAT,0.022122555982456202
UNW_12HRS,0.020385739349786693
CH_15_NWAF,0.020385094851185982
CH_BP_15_RATE,0.01991569904092803
CH_SS_DAYS,0.019442085061190006
CH_SS_15_TA,0.018714972691804808
SMOOTH_LEAK_RATE,0.018614104743304247
CH_15_AWAF,0.018435761150570832
FL_05_MWAF,0.018268549075624346
CH_SP_15_RATE,0.01770849793719821
PT_BTWN,0.017371304212431382
S_ORDER,0.017243210906140314
CNTR_SS,0.014728540602034958
CH_05_MWAF,0.014025255190276966
N_SCAN,0.013169515790493413
RAW_LEAK_RATE,0.012823864614743368
CH_SS_5_TA,0.012677729119268772
CH_BP_05_RATE,0.011504006959511471
CH_15_MWAF,0.010960993851618583
CF_BP_05_RRAT,0.010709224805266012
FL_05_NWAF,0.01041900298867469
CH_SS_5_N,0.00867089315846626
CF_SP_05_RRAT,0.008384279753683043
LAYER_8M6CL,0.005127873484396003
SIF_DEFECT,0.004326358106484061
SIF_SED,0.0020695146958970086
GF_ON,0.002028444141223342
CV_ON,0.001950740431366475
ICCR2_ON,0.001374464179060988
PL_RECIPE_P_78_GABON,0.001215893272763832
DP_FAIL_60,0.0010932170886614656
SIF_ETCH,0.0010694810467966234
PL_RECIPE_P_78_THAR_R2,0.0007199109258795079
PL_RECIPE_P_78_GABON_B15,0.00051205437491935
PL_RECIPE_P_78_GABON_B10_R3,0.0003824724165318864
PL_RECIPE_P_78H_CHALBI_R2_A4,0.0
PL_RECIPE_P_78_GABON_R1,0.0
PL_RECIPE_P_78_PIL16E_1A_R1_B05,0.0
PL_RECIPE_P_78_GOBI_R3,0.0
PL_RECIPE_P_78_GOBI_R5,0.0
PL_RECIPE_P_78_PIL16E_1A_R1,0.0
PL_RECIPE_P_76_98P_CHALBI_R4,0.0
PL_RECIPE_P_78_THAR_R4,0.0
PL_RECIPE_P_76_CHALBI_R3,0.0
ROUTE_RE,0.0
PL_RECIPE_Other,0.0
PL_RECIPE_M_UBE_MIMIC_R1,0.0
PL_RECIPE_M_SS_L100,0.0
PL_RECIPE_M_CCM_R2_L100,0.0
PL_RECIPE_M_30S_TIN_L100,0.0
PL_RECIPE_M_30S_TIN2_L100,0.0
ROUTE_SE,0.0
ROUTE_FL,0.0
SRCIP_ON,0.0
CCMR2_ON,0.0
DP_FAIL_15,0.0
DP_FAIL_30,0.0
PL_RECIPE_S_78_ROADRUNNER_WF78,0.0
