YYMM,LOT,WAFER_ID,PRODUCT,ROUTE,LAYER,DEVICE,SUBENTITY,OPERATION,RECIPE,SUBENTITY_END_TIME,N_SCAN,S_SCAN,S_ORDER,SUM_NCDD,STATUS,CLASS,ZERO_NCDD,ZERO_NCDD_LOT,NC_RATE,INSPECT_TIME,INSPECT_TOOL,BEEP_NCDD,STATUS_BEEP,CLASS_BEEP,ZERO_BEEP,ZERO_BEEP_LOT,BP_RATE,SMP_NCDD,STATUS_SMP,CLASS_SMP,ZERO_SMP,ZERO_SMP_LOT,SP_RATE,STEPPER,RETICLE,SIF_SED,SIF_ETCH,SIF_DEFECT,ENTITY,LOT7,WAFER,SLOT,P_ORDER,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,FULLPM,FULLPM_RF,MINIPM,MINIPM_RF,CNTR_SS,PL_RECIPE,PT_BTWN,PL_TIME,UPT_12HRS,UNW_12HRS,UP_12HRS,ROUTE_STARTS,DUV_OPC_VALUE,EQUIP_AMECT_CKV_CCM_SRCIP_DE_AMECT_VALUE,EQUIP_AMECT_GF_DE_AMECT_VALUE,EQUIP_AMECT_LIDS_DE_AMECT_VALUE,EQUIP_AMECT_LINERS_DE_AMECT_VALUE,EQUIP_AMECT_TEFLON_SHIM_DE_AMECT_VALUE,EQUIP_BARC_TBF_CIPAMC_8102_1100_LI_TBEBC_VALUE,EQUIP_BARC_TBF_CIPAMC_9110D_1000_LI_TBEBC_VALUE,EQUIP_BARC_TBF_CIPAMC_9825_280_LI_TBEBC_VALUE,EQUIP_BARC_TBF_LPCLEAN_LI_TBEBC_VALUE,EQUIP_HRVA3_LEOCB_WE_LEOCB_VALUE,EQUIP_HRVA_LEOCB_1278_WE_LEOCB_VALUE,EQUIP_KOH_TNPPFREE_DRUM_WE_LEOCB_VALUE,EQUIP_LEOCB_TNPP_FREE_NH4OH_WE_LEOCB_VALUE,EQUIP_LEOCB_TRC_NDTD_ER_PILOT_WE_LEOCB_VALUE,EQUIP_N58_XPR5_LI_SNYLI_VALUE,EQUIP_PROZ_HW_UPGRADE_LI_TBEBC_VALUE,EQUIP_R3HRVA_LEOCB_1278_WE_LEOCB_VALUE,EQUIP_TNPPFREEKOH_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_VALUE,EQUIP_TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626_WE_LEOCB_VALUE,MX_HME_DUV_VALUE,MX_HM_CLN_VALUE,PROCESS_80P_ROADRUNNER_DE_AMECT_VALUE,PROCESS_80P_ROADRUNNER_W78_DE_AMECT_VALUE,PROCESS_DELTRIM_WE_LEOCB_VALUE,PROCESS_DE_AMECT_VALUE
2604,D6021050,KJ7YR010WFA6,8PXMCVBG,FL,8M5CL,PXMG,AME401_PM1,263067.0,P_78_GABON_B10_R3,2026-04-12 18:01:43,2,2.0,8.5,0.003659,BSL,BSL,False,False,0.5,2026-04-12 20:20:29,BPD446,0.0,BSL,ZERO,True,True,0.0,0.003659,BSL,BSL,False,False,0.5,SNY510,8PXMCGMT51NA1,0,0,0,AME401,D602105,10,11.0,11.0,OFF,OFF,ON,ON,ON,OFF,ICCR2+CV+GF,11174.0,577.0,10921.0,549.0,507.0,P_78_THAR_R4,2.7601983333,04/12/2026 6:01:43 PM,5.5075016667,92.938443705,45.895847222,FL78.31YJC_SNIP_DLP2295515-1_21623,POR_REV4.2,CHECKVALVE,GF,USED(1),NEW,Without_TS,,POR_AMC,POR_AMC,PRE_LPCLEAN,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,N|0,LEO,,,DELTRIM,GABON_B10_R3
2604,D5512300,MCKLH242WAG3,8PONCVBB,FL,8M6CL,PNCB,AME427_PM4,260463.0,P_78_GABON_R1,2026-04-11 21:06:54,2,1.0,3.0,0.003584,BSL,BSL,False,False,1.0,2026-04-11 22:46:59,BPD458,0.003584,BSL,BSL,False,False,1.0,0.0,BSL,ZERO,True,True,0.0,SNY512,8PXSCBMT60NA4,0,0,0,AME427,D551230,242,5.0,3.0,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,8976.0,488.0,8976.0,488.0,292.0,P_78_ROADRUNNER_R1,0.0367486111,04/11/2026 9:06:54 PM,6.6048155556,109.0,55.04012963,FL78.3FGTC_SNIP_DLP2295522-1_11367,POR_REV4.2,CHECKVALVE,GF,NEW,NEW,TS,,POR_AMC,POR_AMC,PRE_LPCLEAN,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,,UNDEFINED,Y|1,LEO,POR_GABON,UNDEFINED,DELTRIM,GABON_R1
2604,D6015580,A25GX013SLH2,8PXMCVBG,FL,8M6CL,PXMG,AME403_PM1,260463.0,P_78_GABON_R1,2026-04-11 20:16:33,2,1.0,7.0,0.0,BSL,ZERO,True,True,0.0,2026-04-11 21:31:00,BPD448,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY512,8PXMCGMT61NA2,0,0,0,AME403,D601558,13,13.0,7.0,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,3421.0,175.0,3421.0,175.0,468.0,P_78_ROADRUNNER_R1,0.3117455556,04/11/2026 8:16:33 PM,9.0332875,149.0818131,75.277395833,FL78.31YJC_SNIP_DLP2295515-1_20271,POR_REV4.2,CHECKVALVE,GF,NEW,NEW,TS,CIP_AMC,POR_AMC,POR_AMC,LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,,UNDEFINED,Y|1,LEO,POR_GABON,UNDEFINED,DELTRIM,GABON_R1
2604,D6031360,A26FX015SLH2,8PXMCVBG,FL,8M6CL,PXMG,AME427_PM3,256528.0,P_78_ROADRUNNER_R1,2026-04-11 20:16:01,2,1.0,1.0,0.0,BSL,ZERO,True,True,0.0,2026-04-11 21:56:31,BPD454,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY512,8PXMCGMT61NA2,0,0,0,AME427,D603136,15,1.0,1.0,ON,OFF,ON,ON,ON,ON,SRCIP,11819.0,686.0,5701.0,272.0,738.0,P_78_THAR_R4,0.4665447222,04/11/2026 8:16:01 PM,6.50004,105.55375359,54.167,FL78.31YJC_SNIP_DLP2295515-1_22631,POR_REV4.2,CCMR2_SRCIP_CHECKVALVE,GF,NEW,RECOATED,TS,,POR_AMC,CIP_AMC,PRE_LPCLEAN|LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,,UNDEFINED,N|0,LEO,UNDEFINED,UNDEFINED,DELTRIM,ROADRUNNER_R1
2604,D5523290,A26GV236SLG2,8PXMCVBG,FL,8M6CL,PXMG,AME409_PM6,260463.0,P_78_GABON_R2,2026-04-11 17:45:05,4,4.0,10.25,0.0,BSL,ZERO,True,True,0.0,2026-04-11 20:14:21,BPD432,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY512,8PXMCGMT61NA2,0,1,1,AME409,D552329,236,19.0,17.0,ON,OFF,ON,ON,OFF,ON,SRCIP,15824.0,904.0,104.0,7.0,103.0,P_78_PIL16E_1A_R3_A045_TEACH,52.599420833,04/11/2026 5:45:05 PM,0.0,0.0,0.0,FL78.31YJC_SNIP_DLP2295515-1_19413,POR_REV4.2,CCMR2_SRCIP_CHECKVALVE,Without_GF,USED(2),USED(2),Without_TS,,POR_AMC,CIP_AMC,PRE_LPCLEAN|LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,N|0,LEO,UNDEFINED,UNDEFINED,DELTRIM,UNDEFINED
2604,D5512920,KJ7HA011WFG5,8PXMCVBG,FL,8M6CL,PXMG,AME409_PM3,260463.0,P_78_GABON_R1,2026-04-11 16:58:36,2,2.0,4.5,0.0,BSL,ZERO,True,True,0.0,2026-04-11 19:43:17,BPD446,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY512,8PXMCGMT61NA2,0,0,0,AME409,D551292,11,9.0,7.0,OFF,OFF,ON,ON,ON,OFF,ICCR2+CV+GF,12487.0,667.0,12487.0,667.0,161.0,M_30S_TIN2_L100,17.539440556,04/11/2026 4:58:36 PM,0.0,0.0,0.0,FL78.31YJC_SNIP_DLP2295515-1_18558,POR_REV4.2,CHECKVALVE,GF,NEW,USED(2),Without_TS,,CIP_AMC,CIP_AMC,LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,Y|1,LEO,POR_GABON,UNDEFINED,DELTRIM,GABON_R1
2604,D5512510,GT6ER561JKC7,8PXMCVBG,FL,8M5CL,PXMG,AME403_PM2,263067.0,P_78_GABON_B10_R3,2026-04-10 11:33:08,2,1.0,11.0,0.003692,BSL,BSL,False,False,1.0,2026-04-10 12:29:28,BPD442,0.003692,BSL,BSL,False,False,1.0,0.0,BSL,ZERO,True,True,0.0,SNY510,8PXMCGMT51NA1,0,0,0,AME403,D551251,561,24.0,11.0,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,10826.0,515.0,10826.0,515.0,579.0,P_78_GABON_B10_R3,0.7183391667,04/10/2026 11:33:08 AM,5.4591861111,87.0,45.493217593,FL78.31YJC_SNIP_DLP2295515-1_16891,POR_REV4.2,CHECKVALVE,Without_GF,NEW,NEW,TS,POR_AMC,POR_AMC,POR_AMC,LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,N|0,LEO,,,DELTRIM,GABON_B10_R3
2604,D5512560,GT8RR579JKD0,8PXMCVBG,FL,8M5CL,PXMG,AME417_PM1,263067.0,P_78_GABON_B10_R3,2026-04-09 22:56:15,4,2.0,10.0,0.003692,BSL,BSL,False,False,0.5,2026-04-10 00:52:02,BPD436,0.003692,BSL,BSL,False,False,0.5,0.0,BSL,ZERO,True,True,0.0,SNV440,8PXMCGMT51NA1,0,0,0,AME417,D551256,579,17.0,8.0,OFF,ON,ON,ON,ON,ON,CCMR2+ICCR2+CV+GF,6967.0,353.0,6967.0,353.0,317.0,P_78_GABON_B10_R3,0.8018347222,04/09/2026 10:56:15 PM,1.2418019444,16.0,10.348349537,FL78.31YJC_SNIP_DLP2295515-1_16891,POR_REV4.2,CCMR2_CHECKVALVE,GF,NEW,RECOATED,TS,POR_AMC,POR_AMC,POR_AMC,LPCLEAN_1|PRE_LPCLEAN,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,,UNDEFINED,N|0,LEO,,,DELTRIM,GABON_B10_R3
2604,D6015580,A25GX013SLH2,8PXMCVBG,FL,8M5CL,PXMG,AME409_PM1,263067.0,P_78_GABON_B10_R3,2026-04-09 22:38:13,2,1.0,7.0,0.0,BSL,ZERO,True,True,0.0,2026-04-09 23:50:36,BPD444,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNV440,8PXMCGMT51NA1,0,0,0,AME409,D601558,13,13.0,7.0,OFF,OFF,ON,ON,ON,OFF,ICCR2+CV+GF,29887.0,1736.0,16465.0,815.0,503.0,P_78_GOBI_R5,0.9175202778,04/09/2026 10:38:13 PM,5.4462413889,81.0,45.385344907,FL78.31YJC_SNIP_DLP2295515-1_20271,POR_REV4.2,CHECKVALVE,GF,NEW,RECOATED,Without_TS,,POR_AMC,POR_AMC,PRE_LPCLEAN,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,N|0,LEO,,,DELTRIM,GABON_B10_R3
2604,D5485180,A22JR056SLC2,8PXMCVBG,FL,8M5CL,PXMG,AME421_PM4,263067.0,P_78_GABON_B10_R3,2026-04-09 16:14:22,2,2.0,7.5,0.003659,BSL,BSL,False,False,1.0,2026-04-09 17:47:45,BPD436,0.0,BSL,ZERO,True,True,0.0,0.003659,BSL,BSL,False,False,1.0,SNY510,8PXMCGMT51NA1,0,0,0,AME421,D548518,56,25.0,12.0,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,9212.0,437.0,9212.0,437.0,884.0,P_78_ROADRUNNER_R1,0.9917383333,04/09/2026 4:14:22 PM,5.5357947222,86.669810448,46.131622685,FL78.31YJC_SNIP_DLP2295515-1_12101,POR_REV4.2,CHECKVALVE,Without_GF,USED(1),USED(2),TS,,POR_AMC,CIP_AMC,PRE_LPCLEAN|LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,NON R3 HRVA,UNDEFINED,UNDEFINED,N|0,LEO,,,DELTRIM,GABON_B10_R3
2604,D5523290,A26GV228SLC7,8PXMCVBG,FL,8M5CL,PXMG,AME401_PM3,263067.0,P_78_GABON_B10_R3,2026-04-09 14:56:25,2,2.0,19.5,0.003659,BSL,BSL,False,False,0.5,2026-04-09 15:47:52,BPD436,0.003659,BSL,BSL,False,False,0.5,0.0,BSL,ZERO,True,True,0.0,SNY510,8PXMCGMT51NA1,0,0,0,AME401,D552329,228,24.0,22.0,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,1816.0,112.0,1563.0,81.0,608.0,P_78_GABON_R1,1.2138886111,04/09/2026 2:56:25 PM,2.621985,45.112486119,21.849875,FL78.31YJC_SNIP_DLP2295515-1_19413,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,D6015410,GT5VX305JKB6,8PXMCVBG,FL,8M6CL,PXMG,AME403_PM5,260463.0,P_78_GABON_R1,2026-04-09 09:07:20,2,1.0,2.0,0.003584,BSL,BSL,False,False,1.0,2026-04-09 10:51:05,BPD446,0.0,BSL,ZERO,True,True,0.0,0.003584,BSL,BSL,False,False,1.0,SNY510,8PXMCGMT61NA2,0,0,0,AME403,D601541,305,4.0,2.0,OFF,OFF,ON,ON,ON,OFF,ICCR2+CV+GF,27956.0,1611.0,13077.0,659.0,123.0,P_78_GABON_R1,0.3724072222,04/09/2026 9:07:20 AM,5.3926280556,87.213071743,44.93856713,FL78.31YJC_SNIP_DLP2295515-1_20271,POR_REV4.2,CHECKVALVE,GF,NEW,NEW,TS,POR_AMC,POR_AMC,CIP_AMC,LPCLEAN_1,non HRVA3,UNDEFINED,,UNDEFINED,UNDEFINED,NO_XPR5,,4hr R3 HRVA,,UNDEFINED,Y|1,LEO,POR_GABON,UNDEFINED,DELTRIM,GABON_R1
