LOT,WAFER_ID,LAYER
D5435390,KJ39G016WFH1,8M5CL
D5485180,A22JR056SLC2,8M5CL
D5501660,KJ7KY112WFF7,8M5CL
D5512300,MCKLH242WAG3,8M5CL
D5512510,GT6ER561JKC7,8M5CL
D5512560,GT8RR579JKD0,8M5CL
D5523290,A26GV228SLC7,8M5CL
D5523360,KJ7HC014WFF3,8M5CL
D5523400,GU6EW659JDB1,8M5CL
D5523470AN,GT9FQ206JKA5,8M5CL
D6014950,GT6QX352JKF6,8M5CL
D6015410,GT5VX305JKB6,8M5CL
D6015580,A25GX013SLH2,8M5CL
D6015630,GT9FQ085JKE5,8M5CL
D6015640,GT9FQ006JKC3,8M5CL
D6021050,KJ7YR010WFA6,8M5CL
D6021080,KJ7KE239WFG6,8M5CL
D6026110,KJD2F006WFF6,8M5CL
D6026180,KJ7KE307WFG0,8M5CL
D6026420,GT7EJ038JKA2,8M5CL
D6026440,GT7EJ002JKF4,8M5CL
D6031570,GT8RS459JKC5,8M5CL
D6031670,KJ7YN249WFF0,8M5CL
D6031800,A25YU038SLB7,8M5CL
D6031840,KJ7YN255WFH2,8M5CL
D6042170,KJ7YT149WFA6,8M5CL
D6042180,KJA6K005WFC3,8M5CL
D6042340,KJ7YT070WFG3,8M5CL
D6042380AP,A29JN115SLF4,8M5CL
D6042400,KJA6F209WFB0,8M5CL
D6053060,5DXBP694MVF5,8M5CL
D6054330,MCLPH332WAA1,8M5CL
D6064390,MCLPH415WAD0,8M5CL
D6064480,MCLPH334WAB2,8M5CL
D6064560,GT7PS401JKE5,8M5CL
D6064580,KJAUF526WFG4,8M5CL
D6064590,KJA9T270WFB1,8M5CL
D6075500,KJAAC426WFF2,8M5CL
D6075620,KJ97L023WFG0,8M5CL
D6081200,5DXEG233MVF5,8M5CL
D6086390,KJ7HD293WFG2,8M5CL
D6086450,KJA9P653WFH2,8M5CL
D6091640,5DXDW532MVB6,8M5CL
D6091720,KJ7HD277WFG7,8M5CL
D6091890,A2ASU277SLD5,8M5CL
D6102290,A29ZA061SLD3,8M5CL
D6102340,GT9ZP073JKH0,8M5CL
D6102470,A2BS5017SLF1,8M5CL
D6113200,MCLPG173WAB5,8M5CL
D6114290,KJA9Y004WFF0,8M5CL
D541E7M0,GR8SP607JKA6,8M6CL
D5439720,MCE1L356WAC5,8M6CL
D545EK50,KJ57R003WFG4,8M6CL
D5501650AM,KJ7KG244WFF4,8M6CL
D5512300,MCKLH242WAG3,8M6CL
D5512330,5DXAB638MVC1,8M6CL
D5512440,A26WA062SLA3,8M6CL
D5512560,GT8RR579JKD0,8M6CL
D5512920,KJ7HA011WFG5,8M6CL
D5523290,A26GV236SLG2,8M6CL
D5523500,KJ7HH207WFG3,8M6CL
D6015410,GT5VX305JKB6,8M6CL
D6015450,5DXBG146MVA0,8M6CL
D6015580,A25GX013SLH2,8M6CL
D6015670,5DXAN184MVB6,8M6CL
D6021080,KJ7KE239WFG6,8M6CL
D6025960,5DXBU240MVB0,8M6CL
D6026290,KJ7YL001WFF5,8M6CL
D6026420,GT7EJ038JKA2,8M6CL
D6028500,KJ7KR758WFE5,8M6CL
D6031360,A26FX015SLH2,8M6CL
D6031400,A26LJ130SLG7,8M6CL
D6031410,GT3FY001JKC3,8M6CL
D6031840,KJ7YN255WFH2,8M6CL
D6042170,KJ7YT149WFA6,8M6CL
D6042280,IEFPA006MMF2,8M6CL
D6042370,GT8RS704JKA4,8M6CL
D6053120,GT9LM712JKA2,8M6CL
D6053310,GT9ZQ201JKC4,8M6CL
D6064490,A28WK015SLF4,8M6CL
D6064570,KJA6M348WFB6,8M6CL
D6064580,KJAUF526WFG4,8M6CL
D6068790,A29G5077SLB3,8M6CL
D6075340,5DXBX634MVD6,8M6CL
D6075440,MCLPM003WAC6,8M6CL
D6075550,KJA6M355WFA7,8M6CL
D6075570,GQ7JE204JKC4,8M6CL
D6075760,KJA9Y007WFD0,8M6CL
D6081010,A27QE214SLG7,8M6CL
D6081120,A2BDY023SLF3,8M6CL
D6086000,GT9ZP284JKG5,8M6CL
D6086180,GU2DU440JKD4,8M6CL
D6086290,GU2DU564JKG4,8M6CL
D6086390,KJ7HD293WFG2,8M6CL
D6091620,5DXEF158MVG7,8M6CL
D6091700,A29G5130SLE3,8M6CL
D6091780,GU1AG001JKG5,8M6CL
D6091840,KJ9HE248WFB6,8M6CL
D6102470,A2BS5017SLF1,8M6CL
D6136030,A2CJE029SLG3,8M6CL
