PROCESS,FAB,ALIAS,OPERATION,DEFINITION_ID,DEFINITION_NAME,TREATMENT_TYPE,BACKLOAD_START_DATE,VERSION,IS_LATEST,IS_ACTIVE,FIRST_SEEN_RUN_DATE,LAST_SEEN_RUN_DATE,STATUS,RESOLVED_ALIAS,PROCESS_FAMILY
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_CH_CLEAN2:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_CKV_CCM_SRCIP:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_GF:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_LIDS:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_LINERS:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_MF_CLEAN:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:AMECT_TEFLON_SHIM:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,EQUIP:FK_PM_PILOT_EXT:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,PROCESS:80P_ROADRUNNER:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,PROCESS:80P_ROADRUNNER_W78:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,PROCESS:ICCR_CCMR3_WL:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M5_HM_ETCH,E_8M5_HM_ETCH,,PROCESS:NONE:E_8M5_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M5_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_CH_CLEAN2:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_CKV_CCM_SRCIP:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_GF:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_LIDS:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_LINERS:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_MF_CLEAN:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:AMECT_TEFLON_SHIM:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,EQUIP:FK_PM_PILOT_EXT:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,PROCESS:80P_ROADRUNNER:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,PROCESS:80P_ROADRUNNER_W78:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
1278,D1D,E_8M6_HM_ETCH,E_8M6_HM_ETCH,,PROCESS:ICCR_CCMR3_WL:E_8M6_HM_ETCH,,,,Y,Y,2026-09-13,2026-09-13,EXISTING,E_8M6_HM_ETCH,
