LOT,WAFER_ID,PRODUCT,ROUTE,LAYER,DEVICE,SUBENTITY,OPERATION,RECIPE,SUBENTITY_END_TIME,PILOT_STATUS,N_SCAN,SUM_NCDD,STATUS,CLASS,ZERO_NCDD,INSPECT_TIME,INSPECT_TOOL,BEEP_NCDD,STATUS_BEEP,CLASS_BEEP,ZERO_BEEP,SMP_NCDD,STATUS_SMP,CLASS_SMP,ZERO_SMP,STEPPER,RETICLE,SIF_SED,SIF_ETCH,SIF_DEFECT,ENTITY,LOT7,WAFER,SLOT,P_ORDER,CCMR2,ICCR2,GF,CV,SRCIP,FULLPM,FULLPM_RF,MINIPM,MINIPM_RF,CNTR_SS,PL_RECIPE,PT_BTWN,PL_TIME,UPT_12HRS,UNW_12HRS,UP_12HRS,ROUTE_STARTS,CH_SS_5_TA,CH_SS_5_TA_CLASS,CH_SS_5_N,FL_SS_5_TA,FL_SS_5_N,CH_SS_5_LA,CH_SS_5_LA_CLASS,FL_SS_5_LA,CH_SS_5_AC,CH_SS_5_AC_CLASS,FL_SS_5_AC,CH_SS_5_CA,CH_SS_5_CA_CLASS,FL_SS_5_CA,CH_SS_10_TA,CH_SS_10_TA_CLASS,CH_SS_10_N,FL_SS_10_TA,FL_SS_10_N,CH_SS_10_LA,CH_SS_10_LA_CLASS,FL_SS_10_LA,CH_SS_10_AC,CH_SS_10_AC_CLASS,FL_SS_10_AC,CH_SS_10_CA,CH_SS_10_CA_CLASS,FL_SS_10_CA,CH_SS_15_TA,CH_SS_15_TA_CLASS,CH_SS_15_N,FL_SS_15_TA,FL_SS_15_N,CH_SS_15_LA,CH_SS_15_LA_CLASS,FL_SS_15_LA,CH_SS_15_AC,CH_SS_15_AC_CLASS,FL_SS_15_AC,CH_SS_15_CA,CH_SS_15_CA_CLASS,FL_SS_15_CA,CH_SS_DAYS
D5334220,A1YCK061SLF2,8PXMCVAG,FL,8M6CL,PXMG,AME403_PM4,260463.0,P_78_GABON,2025-12-29 21:11:05,POR+CV,2,0.003584,BSL,BSL,False,2025-12-29 22:49:40,BPD432,0.003584,BSL,BSL,False,0.0,BSL,ZERO,True,SNY510,8PXMCGMT61NA2,0,0,0,AME403,D533422,61,18.0,10.0,OFF,OFF,OFF,ON,OFF,11615.0,777.0,11615.0,777.0,889.0,P_78_GABON,0.1097644444,12/29/2025 9:11:05 PM,5.45135,73.0,45.427916667,FL78.31YBC_SNIP_DLP2203458-1_5194,4.5692307692276914,3.0,65,3.2460317460285717,42,1.6358974358923075,2.0,0.6031746031738094,0.44615384615846154,1.0,0.023809523809523808,0.35100000512307694,1.0,0.0016071428571428573,4.5692307692276914,3.0,65,2.437229437227273,77,1.6358974358923075,2.0,0.7186147186142857,0.44615384615846154,1.0,0.021645021644155844,0.35100000512307694,1.0,0.0015584415584415584,0.33333333335,1.0,2,2.2301587301563495,126,0.33333333335,1.0,0.9391534391531746,0.0,0.0,0.02645502645396825,0.0,0.0,0.0026785714285714286,11.193726851851851
D5334220,A1UPA020SLD3,8PXMCVAG,FL,8M6CL,PXMG,AME403_PM4,260463.0,P_78_GABON,2025-12-29 20:32:25,POR+CV,2,0.003553,BSL,BSL,False,2025-12-29 22:49:40,BPD432,0.0,BSL,ZERO,True,0.003553,BSL,BSL,False,SNY510,8PXMCGMT61NA2,0,0,0,AME403,D533422,20,1.0,1.0,OFF,OFF,OFF,ON,OFF,11615.0,777.0,11615.0,777.0,889.0,P_78_GABON,0.1097644444,12/29/2025 8:32:25 PM,5.45135,73.0,45.427916667,FL78.31YBC_SNIP_DLP2203458-1_5194,4.5692307692276914,3.0,65,3.193798449609302,43,1.6358974358923075,2.0,0.5891472868209302,0.44615384615846154,1.0,0.023255813953488372,0.35100000512307694,1.0,0.0015697674418604652,4.5692307692276914,3.0,65,2.437229437227273,77,1.6358974358923075,2.0,0.7186147186142857,0.44615384615846154,1.0,0.021645021644155844,0.35100000512307694,1.0,0.0015584415584415584,0.33333333335,1.0,2,2.2301587301563495,126,0.33333333335,1.0,0.9391534391531746,0.0,0.0,0.02645502645396825,0.0,0.0,0.0026785714285714286,11.166875
D547R190,GAKFA034MMG6,1X8PGVA,RE,8M6CL,PNCB,AME403_PM3,260463.0,P_78_GABON,2025-12-29 16:34:14,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,34,23.0,7.0,OFF,OFF,OFF,ON,OFF,20342.0,987.0,4263.0,278.0,314.0,P_78_GABON,1.5238894444,12/29/2025 4:34:14 PM,2.934035,38.0,24.450291667,RE78.0HG4A_SNIP_DLP2201177-1_73,1.3391812865491228,2.0,57,3.230158730157143,42,0.4502923976596491,2.0,0.5714285714285714,0.10526315789473684,1.0,0.023809523809523808,0.03513157894736842,1.0,0.0016071428571428573,2.0,2.0,1,2.479999999998667,75,1.0,2.0,0.72,0.0,0.0,0.02222222222133333,0.0,0.0,0.0015999999999999999,1.0,2.0,2,2.2526881720411294,124,0.5,2.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,5.723229166666667
D547R190,GAKFA118MMG4,1X8PGVA,RE,8M6CL,PNCB,AME403_PM4,260463.0,P_78_GABON,2025-12-29 16:30:03,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,118,20.0,6.0,OFF,OFF,OFF,ON,OFF,11572.0,774.0,11572.0,774.0,846.0,P_78_GABON,0.7219705556,12/29/2025 4:30:03 PM,2.7487041667,37.0,22.905868056,RE78.0HG4A_SNIP_DLP2201177-1_73,4.5692307692276914,3.0,65,3.230158730157143,42,1.6358974358923075,2.0,0.5714285714285714,0.44615384615846154,1.0,0.023809523809523808,0.35100000512307694,1.0,0.0016071428571428573,4.5692307692276914,3.0,65,2.479999999998667,75,1.6358974358923075,2.0,0.72,0.44615384615846154,1.0,0.02222222222133333,0.35100000512307694,1.0,0.0015999999999999999,0.33333333335,1.0,2,2.2526881720411294,124,0.33333333335,1.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,10.998564814814815
D547R190,GAKFA037MME6,1X8PGVA,RE,8M6CL,PNCB,AME403_PM3,260463.0,P_78_GABON,2025-12-29 16:30:03,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,37,19.0,6.0,OFF,OFF,OFF,ON,OFF,20342.0,987.0,4263.0,278.0,314.0,P_78_GABON,1.5238894444,12/29/2025 4:30:03 PM,2.934035,38.0,24.450291667,RE78.0HG4A_SNIP_DLP2201177-1_73,1.3391812865491228,2.0,57,3.230158730157143,42,0.4502923976596491,2.0,0.5714285714285714,0.10526315789473684,1.0,0.023809523809523808,0.03513157894736842,1.0,0.0016071428571428573,2.0,2.0,1,2.479999999998667,75,1.0,2.0,0.72,0.0,0.0,0.02222222222133333,0.0,0.0,0.0015999999999999999,1.0,2.0,2,2.2526881720411294,124,0.5,2.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,5.720324074074074
D547R190,GAKFA043MMH0,1X8PGVA,RE,8M6CL,PNCB,AME403_PM3,260463.0,P_78_GABON,2025-12-29 16:25:45,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,43,15.0,5.0,OFF,OFF,OFF,ON,OFF,20342.0,987.0,4263.0,278.0,314.0,P_78_GABON,1.5238894444,12/29/2025 4:25:45 PM,2.934035,38.0,24.450291667,RE78.0HG4A_SNIP_DLP2201177-1_73,1.3391812865491228,2.0,57,3.230158730157143,42,0.4502923976596491,2.0,0.5714285714285714,0.10526315789473684,1.0,0.023809523809523808,0.03513157894736842,1.0,0.0016071428571428573,2.0,2.0,1,2.479999999998667,75,1.0,2.0,0.72,0.0,0.0,0.02222222222133333,0.0,0.0,0.0015999999999999999,1.0,2.0,2,2.2526881720411294,124,0.5,2.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,5.717337962962963
D547R190,GAKFA017MMD1,1X8PGVA,RE,8M6CL,PNCB,AME403_PM4,260463.0,P_78_GABON,2025-12-29 16:25:45,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,17,18.0,5.0,OFF,OFF,OFF,ON,OFF,11572.0,774.0,11572.0,774.0,846.0,P_78_GABON,0.7219705556,12/29/2025 4:25:45 PM,2.7487041667,37.0,22.905868056,RE78.0HG4A_SNIP_DLP2201177-1_73,4.5692307692276914,3.0,65,3.230158730157143,42,1.6358974358923075,2.0,0.5714285714285714,0.44615384615846154,1.0,0.023809523809523808,0.35100000512307694,1.0,0.0016071428571428573,4.5692307692276914,3.0,65,2.479999999998667,75,1.6358974358923075,2.0,0.72,0.44615384615846154,1.0,0.02222222222133333,0.35100000512307694,1.0,0.0015999999999999999,0.33333333335,1.0,2,2.2526881720411294,124,0.33333333335,1.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,10.995578703703703
D547R190,GAKFA036MMA4,1X8PGVA,RE,8M6CL,PNCB,AME403_PM3,260463.0,P_78_GABON,2025-12-29 16:21:28,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,36,13.0,4.0,OFF,OFF,OFF,ON,OFF,20342.0,987.0,4263.0,278.0,314.0,P_78_GABON,1.5238894444,12/29/2025 4:21:28 PM,2.934035,38.0,24.450291667,RE78.0HG4A_SNIP_DLP2201177-1_73,1.3391812865491228,2.0,57,3.230158730157143,42,0.4502923976596491,2.0,0.5714285714285714,0.10526315789473684,1.0,0.023809523809523808,0.03513157894736842,1.0,0.0016071428571428573,2.0,2.0,1,2.479999999998667,75,1.0,2.0,0.72,0.0,0.0,0.02222222222133333,0.0,0.0,0.0015999999999999999,1.0,2.0,2,2.2526881720411294,124,0.5,2.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,5.714363425925926
D547R190,GAKFA030MME4,1X8PGVA,RE,8M6CL,PNCB,AME403_PM4,260463.0,P_78_GABON,2025-12-29 16:21:28,POR+CV,13,0.014334,BSL,BSL,False,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.014334,HIGHFLIER,HIGHFLIER,False,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,30,14.0,4.0,OFF,OFF,OFF,ON,OFF,11572.0,774.0,11572.0,774.0,846.0,P_78_GABON,0.7219705556,12/29/2025 4:21:28 PM,2.7487041667,37.0,22.905868056,RE78.0HG4A_SNIP_DLP2201177-1_73,4.5692307692276914,3.0,65,3.230158730157143,42,1.6358974358923075,2.0,0.5714285714285714,0.44615384615846154,1.0,0.023809523809523808,0.35100000512307694,1.0,0.0016071428571428573,4.5692307692276914,3.0,65,2.479999999998667,75,1.6358974358923075,2.0,0.72,0.44615384615846154,1.0,0.02222222222133333,0.35100000512307694,1.0,0.0015999999999999999,0.33333333335,1.0,2,2.2526881720411294,124,0.33333333335,1.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,10.992604166666666
D547R190,GAKFA033MMC4,1X8PGVA,RE,8M6CL,PNCB,AME403_PM3,260463.0,P_78_GABON,2025-12-29 16:17:10,POR+CV,13,0.0,BSL,ZERO,True,2025-12-29 17:41:14,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY510,8PXSCBMT61NA1,0,0,1,AME403,D547R19,33,9.0,3.0,OFF,OFF,OFF,ON,OFF,20342.0,987.0,4263.0,278.0,314.0,P_78_GABON,1.5238894444,12/29/2025 4:17:10 PM,2.934035,38.0,24.450291667,RE78.0HG4A_SNIP_DLP2201177-1_73,1.3391812865491228,2.0,57,3.230158730157143,42,0.4502923976596491,2.0,0.5714285714285714,0.10526315789473684,1.0,0.023809523809523808,0.03513157894736842,1.0,0.0016071428571428573,2.0,2.0,1,2.479999999998667,75,1.0,2.0,0.72,0.0,0.0,0.02222222222133333,0.0,0.0,0.0015999999999999999,1.0,2.0,2,2.2526881720411294,124,0.5,2.0,0.9435483870967742,0.0,0.0,0.026881720429032255,0.0,0.0,0.002721774193548387,5.711377314814815
