LOT,WAFER_ID,PRODUCT,ROUTE,LAYER,DEVICE,SUBENTITY,OPERATION,RECIPE,SUBENTITY_END_TIME,PILOT_STATUS,N_SCAN,S_SCAN,S_ORDER,SUM_NCDD,STATUS,CLASS,ZERO_NCDD,ZERO_NCDD_LOT,NC_RATE,INSPECT_TIME,INSPECT_TOOL,BEEP_NCDD,STATUS_BEEP,CLASS_BEEP,ZERO_BEEP,ZERO_BEEP_LOT,BP_RATE,SMP_NCDD,STATUS_SMP,CLASS_SMP,ZERO_SMP,ZERO_SMP_LOT,SP_RATE,STEPPER,RETICLE,SIF_SED,SIF_ETCH,SIF_DEFECT,ENTITY,LOT7,WAFER,SLOT,P_ORDER,CCMR2,ICCR2,GF,CV,SRCIP,FULLPM,FULLPM_RF,MINIPM,MINIPM_RF,CNTR_SS,PL_RECIPE,PT_BTWN,PL_TIME,UPT_12HRS,UNW_12HRS,UP_12HRS,CH_BP_05_RATE,CH_SP_05_RATE,CH_BP_05,CH_SP_05,CH_05_MWAF,CH_BP_10_RATE,CH_SP_10_RATE,CH_BP_10,CH_SP_10,CH_10_MWAF,CH_BP_15_RATE,CH_SP_15_RATE,CH_BP_15,CH_SP_15,CH_15_MWAF,CH_BP_30_RATE,CH_SP_30_RATE,CH_BP_30,CH_SP_30,CH_30_MWAF,FL_BP_05_RATE,FL_SP_05_RATE,FL_BP_05,FL_SP_05,FL_05_MWAF,FL_BP_10_RATE,FL_SP_10_RATE,FL_BP_10,FL_SP_10,FL_10_MWAF,FL_BP_15_RATE,FL_SP_15_RATE,FL_BP_15,FL_SP_15,FL_15_MWAF,FL_BP_30_RATE,FL_SP_30_RATE,FL_BP_30,FL_SP_30,FL_30_MWAF,CF_BP_05_RRAT,CF_SP_05_RRAT,CF_BP_05_DRAT,CF_SP_05_DRAT,CF_BP_10_RRAT,CF_SP_10_RRAT,CF_BP_10_DRAT,CF_SP_10_DRAT,CF_BP_15_RRAT,CF_SP_15_RRAT,CF_BP_15_DRAT,CF_SP_15_DRAT,CF_BP_30_RRAT,CF_SP_30_RRAT,CF_BP_30_DRAT,CF_SP_30_DRAT,ROUTE_STARTS,CH_NC_05_RATE,CH_NC_05,CH_NC_10_RATE,CH_NC_10,CH_NC_15_RATE,CH_NC_15,CH_NC_30_RATE,CH_NC_30,FL_NC_05_RATE,FL_NC_05,FL_NC_10_RATE,FL_NC_10,FL_NC_15_RATE,FL_NC_15,FL_NC_30_RATE,FL_NC_30,CF_NC_05_RRAT,CF_NC_05_DRAT,CF_NC_10_RRAT,CF_NC_10_DRAT,CF_NC_15_RRAT,CF_NC_15_DRAT,CF_NC_30_RRAT,CF_NC_30_DRAT
D4448010,GF7QH715JKE1,8PYZCVA,FL,8M6CL,PYZA,AME427_PM4,260463.0,P_78_GABON,2025-01-29 20:57:09,POR,2,1,3.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 22:24:46,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,8PYZCAMT60NA1,0,0,0,AME427,D444801,715,24.0,3.0,OFF,OFF,OFF,OFF,OFF,8562.0,628.0,8562.0,628.0,7420.0,P_78_GABON,3.1105466667,01/29/2025 8:57:09 PM,3.3228961111,49.0,27.690800926,0.0,0.0,0.0,0.0,3.0,0.2,0.4,1.0,2.0,5.0,0.2,0.4,1.0,2.0,5.0,0.45454545454545453,0.2727272727272727,5.0,3.0,11.0,0.15384615384615385,0.2692307692307692,4.0,7.0,26.0,0.16666666666666666,0.3333333333333333,7.0,14.0,42.0,0.19117647058823528,0.3088235294117647,13.0,21.0,68.0,0.2641509433962264,0.3270440251572327,42.0,52.0,159.0,0.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.14285714285714285,0.14285714285714285,1.0461538461538462,1.2952380952380953,0.07692307692307693,0.09523809523809523,1.7207792207792207,0.8339160839160839,0.11904761904761904,0.057692307692307696,FL78.08HUB,0.0,0.0,0.4,2.0,0.4,2.0,0.5454545454545454,6.0,0.34615384615384615,9.0,0.40476190476190477,17.0,0.38235294117647056,26.0,0.4779874213836478,76.0,0.0,0.0,0.9882352941176471,0.11764705882352941,1.0461538461538462,0.07692307692307693,1.1411483253588517,0.07894736842105263
D4448010,GF7QH717JKF2,8PYZCVA,FL,8M6CL,PYZA,AME427_PM3,260463.0,P_78_GABON,2025-01-29 20:57:09,POR,2,1,3.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 22:24:46,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,8PYZCAMT60NA1,0,0,0,AME427,D444801,717,22.0,3.0,OFF,OFF,OFF,OFF,OFF,15983.0,1158.0,2866.0,202.0,2895.0,P_78_GABON,3.1105461111,01/29/2025 8:57:09 PM,3.3253172222,48.0,27.710976852,0.0,0.0,0.0,0.0,3.0,0.2,0.0,1.0,0.0,5.0,0.3333333333333333,0.1111111111111111,3.0,1.0,9.0,0.3125,0.25,5.0,4.0,16.0,0.15384615384615385,0.2692307692307692,4.0,7.0,26.0,0.16666666666666666,0.3333333333333333,7.0,14.0,42.0,0.19117647058823528,0.3088235294117647,13.0,21.0,68.0,0.2641509433962264,0.3270440251572327,42.0,52.0,159.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.14285714285714285,0.0,1.7435897435897436,0.35978835978835977,0.23076923076923078,0.047619047619047616,1.1830357142857142,0.764423076923077,0.11904761904761904,0.07692307692307693,FL78.08HUB,0.0,0.0,0.2,1.0,0.3333333333333333,3.0,0.5,8.0,0.34615384615384615,9.0,0.40476190476190477,17.0,0.38235294117647056,26.0,0.4779874213836478,76.0,0.0,0.0,0.49411764705882355,0.058823529411764705,0.8717948717948718,0.11538461538461539,1.0460526315789473,0.10526315789473684
D4097QG0,FS7MZ236JMB6,1X278VC,SE,8M5CL,X78C,AME427_PM5,242115.0,P_78_GABON_B15,2025-01-29 16:05:34,POR,2,2,2.5,0.0,BSL,ZERO,True,True,0.0,2025-01-29 17:14:09,BPD458,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,1X278CMT50NA1,0,0,0,AME427,D4097QG,236,19.0,3.0,OFF,OFF,OFF,OFF,OFF,9979.0,769.0,9979.0,769.0,8871.0,P_78_GOBI_R3,0.4356972222,01/29/2025 4:05:34 PM,7.259955,93.0,60.499625,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14583333333333334,0.1875,7.0,9.0,48.0,0.13513513513513514,0.20270270270270271,10.0,15.0,74.0,0.16304347826086957,0.20652173913043478,15.0,19.0,92.0,0.13612565445026178,0.2513089005235602,26.0,48.0,191.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,SE78.031XD_SNIP_DLP1286362-1_0,,0.0,,0.0,,0.0,0.0,0.0,0.2916666666666667,14.0,0.2972972972972973,22.0,0.32608695652173914,30.0,0.35602094240837695,68.0,,0.0,,0.0,,0.0,0.0,0.0
D4097QG0,FS7MZ231JMC5,1X278VC,SE,8M5CL,X78C,AME427_PM5,242115.0,P_78_GABON_B15,2025-01-29 16:01:14,POR,2,2,2.5,0.0,BSL,ZERO,True,True,0.0,2025-01-29 17:14:09,BPD458,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,1X278CMT50NA1,0,0,0,AME427,D4097QG,231,12.0,2.0,OFF,OFF,OFF,OFF,OFF,9979.0,769.0,9979.0,769.0,8871.0,P_78_GOBI_R3,0.4356972222,01/29/2025 4:01:14 PM,7.259955,93.0,60.499625,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14583333333333334,0.1875,7.0,9.0,48.0,0.13513513513513514,0.20270270270270271,10.0,15.0,74.0,0.16304347826086957,0.20652173913043478,15.0,19.0,92.0,0.13612565445026178,0.2513089005235602,26.0,48.0,191.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,SE78.031XD_SNIP_DLP1286362-1_0,,0.0,,0.0,,0.0,0.0,0.0,0.2916666666666667,14.0,0.2972972972972973,22.0,0.32608695652173914,30.0,0.35602094240837695,68.0,,0.0,,0.0,,0.0,0.0,0.0
D418EJ60,GC9SM003JKA6,1X278VC,FL,8M6CL,X78C,AME411_PM4,242116.0,P_78_GABON_B15,2025-01-29 11:02:34,POR,2,1,1.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 11:57:25,BPD444,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY449,1X278CMT6SNA2,0,0,0,AME411,D418EJ6,3,5.0,1.0,OFF,OFF,OFF,OFF,OFF,19019.0,1174.0,3190.0,223.0,3095.0,P_78_GABON_B15,0.9402044444,01/29/2025 11:02:34 AM,1.5578227778,22.0,12.981856481,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,2.0,2.0,6.0,0.16666666666666666,0.2916666666666667,4.0,7.0,24.0,0.17391304347826086,0.3695652173913043,8.0,17.0,46.0,0.19696969696969696,0.3181818181818182,13.0,21.0,66.0,0.267515923566879,0.33121019108280253,42.0,52.0,157.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.6923076923076923,1.0476190476190477,0.15384615384615385,0.09523809523809523,1.246031746031746,1.0064102564102564,0.047619047619047616,0.038461538461538464,FL78.0H5YA_SNIP_DLP1779093-1_1922,,0.0,0.0,0.0,0.5,3.0,0.5,3.0,0.375,9.0,0.43478260869565216,20.0,0.3939393939393939,26.0,0.4840764331210191,76.0,,0.0,0.0,0.0,1.2692307692307694,0.11538461538461539,1.0328947368421053,0.039473684210526314
D418EJ60,GC9SM004JKF0,1X278VC,FL,8M6CL,X78C,AME411_PM3,242116.0,P_78_GABON_B15,2025-01-29 11:02:34,POR,2,1,1.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 11:57:25,BPD444,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY449,1X278CMT6SNA2,0,0,0,AME411,D418EJ6,4,2.0,1.0,OFF,OFF,OFF,OFF,OFF,633.0,51.0,633.0,51.0,633.0,P_78_GABON_B15,0.9402025,01/29/2025 11:02:34 AM,1.6721361111,21.0,13.934467593,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,2.0,0.375,0.5,3.0,4.0,8.0,0.16666666666666666,0.2916666666666667,4.0,7.0,24.0,0.17391304347826086,0.3695652173913043,8.0,17.0,46.0,0.19696969696969696,0.3181818181818182,13.0,21.0,66.0,0.267515923566879,0.33121019108280253,42.0,52.0,157.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.5384615384615388,1.5714285714285714,0.07692307692307693,0.047619047619047616,1.4017857142857144,1.5096153846153848,0.07142857142857142,0.07692307692307693,FL78.0H5YA_SNIP_DLP1779093-1_1922,,0.0,0.0,0.0,0.5,1.0,0.75,6.0,0.375,9.0,0.43478260869565216,20.0,0.3939393939393939,26.0,0.4840764331210191,76.0,,0.0,0.0,0.0,1.2692307692307694,0.038461538461538464,1.549342105263158,0.07894736842105263
D4468590,A0XTX058SLD1,8PXSCVAA,FL,8M6CL,PXSA,AME409_PM5,260463.0,P_78_GABON,2025-01-29 08:21:32,POR+CV,2,1,4.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 09:24:40,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY449,8PXSCAMT60NA1,0,0,0,AME409,D446859,58,23.0,4.0,OFF,OFF,OFF,ON,OFF,24330.0,1399.0,6837.0,447.0,420.0,P_78H_CHALBI_R2_A4,0.1113547222,01/29/2025 8:21:32 AM,6.1927255556,85.525799104,51.606046296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,0.3181818181818182,4.0,7.0,22.0,0.18181818181818182,0.38636363636363635,8.0,17.0,44.0,0.203125,0.328125,13.0,21.0,64.0,0.2709677419354839,0.33548387096774196,42.0,52.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.08E5B_SNIP_DLP2020952-1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,9.0,0.45454545454545453,20.0,0.40625,26.0,0.49032258064516127,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4468590,A0XV9049SLE5,8PXSCVAA,FL,8M6CL,PXSA,AME409_PM6,260463.0,P_78_GABON,2025-01-29 08:12:42,POR+CV,2,1,3.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 09:24:40,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY449,8PXSCAMT60NA1,0,0,0,AME409,D446859,49,8.0,3.0,OFF,OFF,OFF,ON,OFF,11381.0,741.0,11381.0,741.0,11213.0,P_78H_CHALBI_R2_A4,0.1139419444,01/29/2025 8:12:42 AM,5.7842136111,80.0,48.201780093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,0.3181818181818182,4.0,7.0,22.0,0.18181818181818182,0.38636363636363635,8.0,17.0,44.0,0.203125,0.328125,13.0,21.0,64.0,0.2709677419354839,0.33548387096774196,42.0,52.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.08E5B_SNIP_DLP2020952-1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,9.0,0.45454545454545453,20.0,0.40625,26.0,0.49032258064516127,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4458350,A0XWN008SLA5,8PXSCVAA,FL,8M5CL,PXSA,AME409_PM5,242099.0,P_78H_CHALBI_R2_A4,2025-01-29 07:49:53,POR+CV,2,1,4.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 09:05:40,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,8PXSCAMT51NA1,0,0,0,AME409,D445835,8,15.0,4.0,OFF,OFF,OFF,ON,OFF,24326.0,1399.0,6833.0,447.0,416.0,P_78H_CHALBI_R2_A4,0.7987658333,01/29/2025 7:49:53 AM,5.8198502778,80.422394678,48.498752315,0.0,0.2,0.0,1.0,5.0,0.0,0.2,0.0,1.0,5.0,0.0,0.2,0.0,1.0,5.0,0.0,0.2,0.0,1.0,5.0,0.15217391304347827,0.1956521739130435,7.0,9.0,46.0,0.14864864864864866,0.20270270270270271,11.0,15.0,74.0,0.16666666666666666,0.2111111111111111,15.0,19.0,90.0,0.13612565445026178,0.2513089005235602,26.0,48.0,191.0,0.0,1.0222222222222221,0.0,0.1111111111111111,0.0,0.9866666666666667,0.0,0.06666666666666667,0.0,0.9473684210526316,0.0,0.05263157894736842,0.0,0.7958333333333334,0.0,0.020833333333333332,FL78.08E5B,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.30434782608695654,14.0,0.3108108108108108,23.0,0.3333333333333333,30.0,0.35602094240837695,68.0,0.6571428571428571,0.07142857142857142,0.6434782608695653,0.043478260869565216,0.6000000000000001,0.03333333333333333,0.5617647058823529,0.014705882352941176
D4458350,A0XWN006SLG7,8PXSCVAA,FL,8M5CL,PXSA,AME409_PM6,242099.0,P_78H_CHALBI_R2_A4,2025-01-29 07:35:58,POR+CV,2,1,1.0,0.0,BSL,ZERO,True,True,0.0,2025-01-29 09:05:40,BPD434,0.0,BSL,ZERO,True,True,0.0,0.0,BSL,ZERO,True,True,0.0,SNY511,8PXSCAMT51NA1,0,0,0,AME409,D445835,6,4.0,1.0,OFF,OFF,OFF,ON,OFF,11377.0,741.0,11377.0,741.0,11209.0,P_78H_CHALBI_R2_A4,0.8799575,01/29/2025 7:35:58 AM,5.4526119444,75.422371344,45.43843287,0.3333333333333333,0.0,1.0,0.0,3.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.4,0.0,2.0,0.0,5.0,0.15217391304347827,0.1956521739130435,7.0,9.0,46.0,0.14864864864864866,0.20270270270270271,11.0,15.0,74.0,0.16666666666666666,0.2111111111111111,15.0,19.0,90.0,0.13612565445026178,0.2513089005235602,26.0,48.0,191.0,2.1904761904761902,0.0,0.14285714285714285,0.0,2.242424242424242,0.0,0.09090909090909091,0.0,2.0,0.0,0.06666666666666667,0.0,2.9384615384615387,0.0,0.07692307692307693,0.0,FL78.08E5B,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4,2.0,0.30434782608695654,14.0,0.3108108108108108,23.0,0.3333333333333333,30.0,0.35602094240837695,68.0,1.0952380952380951,0.07142857142857142,1.072463768115942,0.043478260869565216,1.0,0.03333333333333333,1.1235294117647059,0.029411764705882353
