LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD
D5491220,D549122,D5491220,5DWYB311MVG5,8M6CL,7742430,2026-03-31 00:35:37,39,SMALL_PARTICLE,SMALL_PARTICLE,-26.728795,70.573951,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:04:37,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.003584,BSL,0.0,0.003584
D5491220,D549122,D5491220,5DWYB318MVG7,8M6CL,7742439,2026-03-31 00:35:37,1,SMALL_PARTICLE,SMALL_PARTICLE,10.587692,-0.971656,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:08:15,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.007105,BSL,0.0,0.007105
D5491220,D549122,D5491220,5DWYB318MVG7,8M6CL,7742439,2026-03-31 00:35:37,2,SMALL_PARTICLE,SMALL_PARTICLE,10.423156,-1.357928,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:08:15,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.007105,BSL,0.0,0.007105
D5491220,D549122,D5491220,5DWYB330MVE0,8M6CL,7742457,2026-03-31 00:35:37,17,SMALL_PARTICLE,SMALL_PARTICLE,4.485186,3.234262,4,AME401_PM2,P_78_GABON_R1,2026-03-30 20:15:25,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.003553,BSL,0.0,0.003553
D5491220,D549122,D5491220,5DWYB325MVG0,8M6CL,7742508,2026-03-31 00:35:37,40,BEEP,BEEP,37.650361,80.324922,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:15:25,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.007168,BSL,0.007168,0.0
D5491220,D549122,D5491220,5DWYB325MVG0,8M6CL,7742508,2026-03-31 00:35:37,53,BEEP,BEEP,76.91103,-25.229291,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:15:25,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.007168,BSL,0.007168,0.0
D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026-03-31 00:35:37,7,SMALL_PARTICLE,SMALL_PARTICLE,16.443998,-12.561544,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:33:18,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.014337,BSL,0.0,0.014337
D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026-03-31 00:35:37,1,SMALL_PARTICLE,SMALL_PARTICLE,1.518699,-17.128336,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:33:18,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.014337,BSL,0.0,0.014337
D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026-03-31 00:35:37,2,SMALL_PARTICLE,SMALL_PARTICLE,6.978283,-16.986457,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:33:18,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.014337,BSL,0.0,0.014337
D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026-03-31 00:35:37,10,SMALL_PARTICLE,SMALL_PARTICLE,16.555499,-10.976043,4,AME401_PM1,P_78_GABON_R1,2026-03-30 20:33:18,2026-03-31 00:35:37,BPD432,ICCR2+CV+GF,0.014337,BSL,0.0,0.014337
D5523130,D552313,D5523130,KJ7HG169WFF4,8M6CL,7841284,2026-03-31 20:21:43,1069,BEEP,BEEP,-55.512669,-53.73934,4,AME427_PM3,P_78_GABON_R1,2026-03-31 18:41:51,2026-03-31 20:21:43,BPD432,SRCIP,0.003609,BSL,0.003609,0.0
D5355230,D535523,D5355230,GP8YG811JKG7,8M6CL,7250665,2026-03-31 01:03:35,225,SMALL_PARTICLE,SMALL_PARTICLE,-1.279922,0.186772,4,AME409_PM6,P_78_GABON_R1,2026-03-30 23:37:05,2026-03-31 01:03:35,BPD436,ICCR2+CV,0.010827,BSL,0.0,0.010827
D5355230,D535523,D5355230,GP8YG811JKG7,8M6CL,7250665,2026-03-31 01:03:35,451,SMALL_PARTICLE,SMALL_PARTICLE,4.978949,116.205214,4,AME409_PM6,P_78_GABON_R1,2026-03-30 23:37:05,2026-03-31 01:03:35,BPD436,ICCR2+CV,0.010827,BSL,0.0,0.010827
D5355230,D535523,D5355230,GP8YG811JKG7,8M6CL,7250665,2026-03-31 01:03:35,764,SMALL_PARTICLE,SMALL_PARTICLE,18.641241,-133.392331,4,AME409_PM6,P_78_GABON_R1,2026-03-30 23:37:05,2026-03-31 01:03:35,BPD436,ICCR2+CV,0.010827,BSL,0.0,0.010827
D5523130,D552313,D5523130,KJ6TQ038WFE3,8M6CL,7841292,2026-03-31 20:21:43,525,SMALL_PARTICLE,SMALL_PARTICLE,21.827263,117.444519,4,AME427_PM3,P_78_GABON_R1,2026-03-31 19:21:08,2026-03-31 20:21:43,BPD432,SRCIP,0.003584,BSL,0.0,0.003584
D5495990,D549599,D5495990,KJ69F342WFG2,8M6CL,7738625,2026-03-31 22:02:56,42,BEEP,BEEP,70.258928,94.231204,4,AME419_PM3,P_78_GABON_R1,2026-03-31 18:55:52,2026-03-31 22:02:56,BPD432,ICCR2+CV+GF,0.003553,BSL,0.003553,0.0
D5523180,D552318,D5523180,A24TD055SLE3,8M6CL,7843750,2026-04-01 04:54:05,778,SMALL_PARTICLE,SMALL_PARTICLE,6.051247,17.119661,4,AME419_PM5,P_78_GABON_R1,2026-03-31 22:55:33,2026-04-01 04:54:05,BPD450,CCMR2+ICCR2+CV,0.003609,BSL,0.0,0.003609
D6015540,D601554,D6015540,GT9FQ001JKD2,8M5CL,7886956,2026-03-31 20:34:12,15,SMALL_PARTICLE,SMALL_PARTICLE,33.155858,-10.937568,5,AME409_PM5,P_78_GABON_B10_R3,2026-03-31 19:29:57,2026-03-31 20:34:12,BPD448,ICCR2+CV+GF,0.003692,BSL,0.0,0.003692
D5495990,D549599,D5495990,KJ69F474WFF2,8M6CL,7738707,2026-03-31 22:02:56,83,SMALL_PARTICLE,SMALL_PARTICLE,-123.450009,61.993045,4,AME419_PM3,P_78_GABON_R1,2026-03-31 19:06:12,2026-03-31 22:02:56,BPD432,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105
D5495990,D549599,D5495990,KJ69F474WFF2,8M6CL,7738707,2026-03-31 22:02:56,91,SMALL_PARTICLE,SMALL_PARTICLE,64.23717,95.55111,4,AME419_PM3,P_78_GABON_R1,2026-03-31 19:06:12,2026-03-31 22:02:56,BPD432,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105
D5495990,D549599,D5495990,KJ69F474WFF2,8M6CL,7738707,2026-03-31 22:02:56,107,BEEP,BEEP,-70.42296,116.832168,4,AME419_PM3,P_78_GABON_R1,2026-03-31 19:06:12,2026-03-31 22:02:56,BPD432,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105
D5501640,D550164,D5501640,5DWZC570MVB4,8M5CL,7774662,2026-04-01 01:02:03,2566,BEEP,BEEP,114.639306,55.245803,5,AME427_PM3,P_78_GABON_B10_R3,2026-03-31 23:03:34,2026-04-01 01:02:03,BPD436,SRCIP,0.003659,BSL,0.003659,0.0
D5501640,D550164,D5501640,5DWZC572MVC5,8M5CL,7774808,2026-04-01 01:02:03,1181,SMALL_PARTICLE,SMALL_PARTICLE,-70.97879,105.443068,5,AME427_PM3,P_78_GABON_B10_R3,2026-03-31 23:14:05,2026-04-01 01:02:03,BPD436,SRCIP,0.003659,BSL,0.0,0.003659
D539E120,D539E12,D539E120,A1YVB013SLA5,8M6CL,7396004,2026-04-01 03:53:08,3665,BEEP,BEEP,-104.427701,-58.296676,6,AME417_PM4,P_78_GABON_R1,2026-04-01 01:10:10,2026-04-01 03:53:08,BPD444,CCMR2+ICCR2+CV+GF,0.005289,BSL,0.005289,0.0
D5523180,D552318,D5523180,A24TD058SLC3,8M6CL,7843796,2026-04-01 04:54:05,2869,BEEP,BEEP,34.67397,-74.10286,4,AME419_PM5,P_78_GABON_R1,2026-03-31 22:17:15,2026-04-01 04:54:05,BPD450,CCMR2+ICCR2+CV,0.003584,BSL,0.003584,0.0
D5512540,D551254,D5512540,A25G6005SLF7,8M6CL,7818339,2026-04-01 05:49:48,7,SMALL_PARTICLE,SMALL_PARTICLE,11.557719,-15.929296,4,AME409_PM5,P_78_GABON_R1,2026-04-01 04:01:10,2026-04-01 05:49:48,BPD448,ICCR2+CV+GF,0.010753,BSL,0.0,0.010753
D5512540,D551254,D5512540,A25G6005SLF7,8M6CL,7818339,2026-04-01 05:49:48,87,SMALL_PARTICLE,SMALL_PARTICLE,11.463228,37.943154,4,AME409_PM5,P_78_GABON_R1,2026-04-01 04:01:10,2026-04-01 05:49:48,BPD448,ICCR2+CV+GF,0.010753,BSL,0.0,0.010753
D5512540,D551254,D5512540,A25G6005SLF7,8M6CL,7818339,2026-04-01 05:49:48,104,SMALL_PARTICLE,SMALL_PARTICLE,25.338037,70.749446,4,AME409_PM5,P_78_GABON_R1,2026-04-01 04:01:10,2026-04-01 05:49:48,BPD448,ICCR2+CV+GF,0.010753,BSL,0.0,0.010753
D5501830,D550183,D5501830,A22WG209SLD4,8M5CL,7779511,2026-04-01 09:56:36,1817,SMALL_PARTICLE,SMALL_PARTICLE,-55.578297,-109.805423,5,AME411_PM1,P_78_GABON_B10_R3,2026-03-31 22:49:45,2026-04-01 09:56:36,BPD442,SRCIP,0.007384,BSL,0.003692,0.003692
D5501830,D550183,D5501830,A22WG209SLD4,8M5CL,7779511,2026-04-01 09:56:36,1853,BEEP,BEEP,-56.489316,-111.426982,5,AME411_PM1,P_78_GABON_B10_R3,2026-03-31 22:49:45,2026-04-01 09:56:36,BPD442,SRCIP,0.007384,BSL,0.003692,0.003692
D6031730,D603173,D6031730,MCK3J197WAG2,8M6CL,7940774,2026-04-01 11:06:12,3,SMALL_PARTICLE,SMALL_PARTICLE,-5.019339,-8.618225,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:10:28,2026-04-01 11:06:12,BPD442,SRCIP,0.003584,BSL,0.0,0.003584
D6031730,D603173,D6031730,MCK3J017WAA5,8M6CL,7940781,2026-04-01 11:06:12,5,SMALL_PARTICLE,SMALL_PARTICLE,0.867641,-7.942454,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:25:13,2026-04-01 11:06:12,BPD442,SRCIP,0.014337,BSL,0.0,0.014337
D6031730,D603173,D6031730,MCK3J017WAA5,8M6CL,7940781,2026-04-01 11:06:12,6,SMALL_PARTICLE,SMALL_PARTICLE,2.77174,-7.781127,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:25:13,2026-04-01 11:06:12,BPD442,SRCIP,0.014337,BSL,0.0,0.014337
D6031730,D603173,D6031730,MCK3J017WAA5,8M6CL,7940781,2026-04-01 11:06:12,7,SMALL_PARTICLE,SMALL_PARTICLE,4.708914,-7.699325,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:25:13,2026-04-01 11:06:12,BPD442,SRCIP,0.014337,BSL,0.0,0.014337
D6031730,D603173,D6031730,MCK3J017WAA5,8M6CL,7940781,2026-04-01 11:06:12,8,SMALL_PARTICLE,SMALL_PARTICLE,1.769585,-6.94498,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:25:13,2026-04-01 11:06:12,BPD442,SRCIP,0.014337,BSL,0.0,0.014337
D6031730,D603173,D6031730,MCK3J007WAD4,8M6CL,7940620,2026-04-01 11:06:12,6,SMALL_PARTICLE,SMALL_PARTICLE,-7.353219,-6.440876,4,AME421_PM6,P_78_GABON_R1,2026-04-01 08:59:36,2026-04-01 11:06:12,BPD442,SRCIP,0.007168,BSL,0.003584,0.003584
D6031730,D603173,D6031730,MCK3J007WAD4,8M6CL,7940620,2026-04-01 11:06:12,7,BEEP,BEEP,-0.401793,19.521509,4,AME421_PM6,P_78_GABON_R1,2026-04-01 08:59:36,2026-04-01 11:06:12,BPD442,SRCIP,0.007168,BSL,0.003584,0.003584
D6031730,D603173,D6031730,MCK3J069WAC1,8M6CL,7940850,2026-04-01 11:06:12,54,BEEP,BEEP,79.481105,-75.04016,4,AME421_PM6,P_78_GABON_R1,2026-04-01 09:17:45,2026-04-01 11:06:12,BPD442,SRCIP,0.003584,BSL,0.003584,0.0
D5512200,D551220,D5512200,5DWZH317MVA4,8M6CL,7809171,2026-04-01 14:17:38,547,BEEP,BEEP,107.652694,68.206767,4,AME401_PM3,P_78_GABON_R1,2026-04-01 10:38:55,2026-04-01 14:17:38,BPD446,ICCR2+CV+GF,0.003609,BSL,0.003609,0.0
D5496490,D549649,D5496490,GT8DH093JKE1,8M5CL,7755378,2026-04-02 10:56:25,35,SMALL_PARTICLE,SMALL_PARTICLE,-9.890587,-15.169568,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 09:27:24,2026-04-02 10:56:25,BPD432,SRCIP,0.011075,BSL,0.003692,0.007383
D5496490,D549649,D5496490,GT8DH093JKE1,8M5CL,7755378,2026-04-02 10:56:25,884,BEEP,BEEP,-68.625247,81.819673,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 09:27:24,2026-04-02 10:56:25,BPD432,SRCIP,0.011075,BSL,0.003692,0.007383
D5496490,D549649,D5496490,GT8DH093JKE1,8M5CL,7755378,2026-04-02 10:56:25,1085,SMALL_PARTICLE,SMALL_PARTICLE,22.66224,125.105222,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 09:27:24,2026-04-02 10:56:25,BPD432,SRCIP,0.011075,BSL,0.003692,0.007383
D5512440,D551244,D5512440,A26WA065SLF6,8M5CL,7805135,2026-04-01 20:44:17,188,BEEP,BEEP,-133.236303,27.303315,5,AME421_PM2,P_78_GABON_B10_R3,2026-04-01 17:35:14,2026-04-01 20:44:17,BPD450,ICCR2+CV+GF,0.007383,BSL,0.007383,0.0
