ENTITY,PART_SERIAL_NUMBER,PART_INSTALL_DATE,INSTALL_ACTION_DATE,INSTALL_COUNTER_VALUE,ACTION_TYPE,INSTALL_ACTION,STATUS,ATTRIBUTE_NAME,ATTRIBUTE_VALUE,ATTRIBUTE_DELTA,COUNTER_CATEGORY_VALUE,COUNTER_OFFSET_VALUE,TXN_DATE,NEXT_TXN_DATE,EAH_LOAD_DATE,LOAD_DATE,PLT_ENTITY,PART_REMOVE_DATE,COUNTER_INIT_VALUE,INIT_COUNTER,SECURITY_CODE,IPN,IPN_DESCRIPTION
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
AME417_PM5, 301652-0621-0022-40749,2025-10-24 10:45:52,2025-10-24 10:45:52,0.0,C,Clean Part Install,Installed on tool,FullPMRFCounter,1803.0,0.0,0.0,1803.0,2025-10-22 03:29:56,2025-10-24 11:31:33,2025-10-24 11:53:48.986,2025-10-24 12:22:12,AME417_PM5,2025-10-24 10:53:27,0,N,570949632.0,633020697.0,"QUAL,CU,CL,PLSMASCRN PAC3 300MMDPSII,CT"
