LOT,WAFER,WAFER_ID,EQUIP:1278_AR189_1000_HVM_BATCH:L_8M6_SIARC_DEP,EQUIP:BARC_TBF_CIPAMC_9825_280:L_8M6_SIARC_DEP,EQUIP:BARC_TBF_LPCLEAN:L_8M6_SIARC_DEP,EQUIP:PLUTO_ESD_FORK:L_8M6_SIARC_DEP,PROCESS:6001_V5_12_G:L_8M6_SIARC_DEP,PROCESS:CHOZO:L_8M6_SIARC_DEP,EQUIP:1278_AR189_1000_HVM_BATCH:L_8M6_SIARC_DEP@DATE,EQUIP:BARC_TBF_CIPAMC_9825_280:L_8M6_SIARC_DEP@DATE,EQUIP:BARC_TBF_LPCLEAN:L_8M6_SIARC_DEP@DATE,EQUIP:PLUTO_ESD_FORK:L_8M6_SIARC_DEP@DATE,PROCESS:6001_V5_12_G:L_8M6_SIARC_DEP@DATE,PROCESS:CHOZO:L_8M6_SIARC_DEP@DATE
D531193,464,GQ1KC464JKE0,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:25:53 PM,11/27/2025 3:25:53 PM,,11/27/2025 3:25:53 PM,11/27/2025 3:25:53 PM
D531193,465,GQ1KC465JKA7,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:27:27 PM,11/27/2025 3:27:27 PM,,11/27/2025 3:27:27 PM,11/27/2025 3:27:27 PM
D531193,466,GQ1KC466JKF1,AR189_1000_NON_HVM_BATCH,,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 3:32:39 AM,,08/09/2026 3:32:39 AM,08/09/2026 3:32:39 AM,08/09/2026 3:32:39 AM,08/09/2026 3:32:39 AM
D531193,468,GQ1KC468JKG2,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:25:47 PM,11/27/2025 3:25:47 PM,,11/27/2025 3:25:47 PM,11/27/2025 3:25:47 PM
D531193,469,GQ1KC469JKD1,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:39 PM,11/27/2025 3:26:39 PM,,11/27/2025 3:26:39 PM,11/27/2025 3:26:39 PM
D531193,470,GQ1KC470JKG2,AR189_1000_NON_HVM_BATCH,,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 3:32:35 AM,,08/09/2026 3:32:35 AM,08/09/2026 3:32:35 AM,08/09/2026 3:32:35 AM,08/09/2026 3:32:35 AM
D531193,471,GQ1KC471JKD1,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:21 PM,11/27/2025 3:26:21 PM,,11/27/2025 3:26:21 PM,11/27/2025 3:26:21 PM
D531193,472,GQ1KC472JKA0,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:02 PM,11/27/2025 3:26:02 PM,,11/27/2025 3:26:02 PM,11/27/2025 3:26:02 PM
D531193,473,GQ1KC473JKE2,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:27:17 PM,11/27/2025 3:27:17 PM,,11/27/2025 3:27:17 PM,11/27/2025 3:27:17 PM
D531193,476,GQ1KC476JKC2,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:24:45 AM,08/08/2026 10:59:28 AM,08/09/2026 4:24:45 AM,08/09/2026 4:24:45 AM,08/09/2026 4:24:45 AM,08/09/2026 4:24:45 AM
D531193,478,GQ1KC478JKD3,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:10 AM,08/08/2026 10:59:03 AM,08/09/2026 4:25:10 AM,08/09/2026 4:25:10 AM,08/09/2026 4:25:10 AM,08/09/2026 4:25:10 AM
D531193,480,GQ1KC480JKD3,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:09 PM,11/27/2025 3:26:09 PM,,11/27/2025 3:26:09 PM,11/27/2025 3:26:09 PM
D531193,481,GQ1KC481JKA2,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:14 AM,08/08/2026 10:59:08 AM,08/09/2026 4:25:14 AM,08/09/2026 4:25:14 AM,08/09/2026 4:25:14 AM,08/09/2026 4:25:14 AM
,483,GQ1KC483JKB3,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:27 AM,08/08/2026 10:59:23 AM,08/09/2026 4:25:27 AM,08/09/2026 4:25:27 AM,08/09/2026 4:25:27 AM,08/09/2026 4:25:27 AM
D531193,484,GQ1KC484JKF5,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:24:57 AM,08/08/2026 10:58:49 AM,08/09/2026 4:24:57 AM,08/09/2026 4:24:57 AM,08/09/2026 4:24:57 AM,08/09/2026 4:24:57 AM
D531193,485,GQ1KC485JKC4,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:34 PM,11/27/2025 3:26:34 PM,,11/27/2025 3:26:34 PM,11/27/2025 3:26:34 PM
D531193,486,GQ1KC486JKG6,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:06 AM,08/08/2026 10:58:58 AM,08/09/2026 4:25:06 AM,08/09/2026 4:25:06 AM,08/09/2026 4:25:06 AM,08/09/2026 4:25:06 AM
D531193,521,GQ1KC521JKB7,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:15 PM,11/27/2025 3:26:15 PM,,11/27/2025 3:26:15 PM,11/27/2025 3:26:15 PM
D531193,522,GQ1KC522JKG1,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:23 AM,08/08/2026 10:59:18 AM,08/09/2026 4:25:23 AM,08/09/2026 4:25:23 AM,08/09/2026 4:25:23 AM,08/09/2026 4:25:23 AM
D531193,523,GQ1KC523JKD0,,POR_AMC,PRE_LPCLEAN,,UNDEFINED,NOT_CHOZO,,11/27/2025 3:26:27 PM,11/27/2025 3:26:27 PM,,11/27/2025 3:26:27 PM,11/27/2025 3:26:27 PM
D531193,524,GQ1KC524JKH2,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:25:19 AM,08/08/2026 10:59:13 AM,08/09/2026 4:25:19 AM,08/09/2026 4:25:19 AM,08/09/2026 4:25:19 AM,08/09/2026 4:25:19 AM
D531193,526,GQ1KC526JKB0,AR189_1000_NON_HVM_BATCH,CIP_AMC,PRE_LPCLEAN,NO ESD FORK,UNDEFINED,NOT_CHOZO,08/09/2026 4:24:49 AM,08/08/2026 10:58:54 AM,08/09/2026 4:24:49 AM,08/09/2026 4:24:49 AM,08/09/2026 4:24:49 AM,08/09/2026 4:24:49 AM
