YYMM,INSPECTION_TIME,PRIMARY_EQUIP,EVENT,EVENT_WAFER,SLOT_ID,ACTUAL_LOT,WAFER_ID,DEFECT_ID,WAFER_X_MM,WAFER_Y_MM,SIZE_D_UM,CLASS,FINEBIN,N_DEFECTS,ADDER_DEFECTS,ADDER_CLUSTERS,CLUSTERS,ADDER_RANDOM_DEFECTS,STATUS,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,LAYER,SCAN_TYPE,WAFER_KEY,LOT7,IMAGE_COUNT,N_WAFERS_IN_RUN,FULLPM_RF,MINIPM_RF,SIZE,ELEMENT,ORIGINAL_ELEMENT,EDX_ELEM_NUM,EDX_COL,EDX_VALUE
2605,2026/05/02 3:48:48 AM,AME403_PM3,SS7,2,7,D317TJX0,FEGDB713MMC6,3,95.642215,-3.922037,0.135,UNCLASSIFIED,UNCLASSIFIED,5,4,0,0,4,BASELINE,ON,OFF,ON,ON,OFF,ON,SRCIP,6BARE_L029_PST,POST,3120612,D317TJX,16,10,10,45,SMALL,YPO,YTTRIUM,39,EDX_ELEM39_YTTRIUM,11.4319
2604,2026/04/11 2:56:48 PM,AME411_PM4,SS1,1,14,D317TJX0,DFEWE633MME2,2,10.085344,-8.170913,0.067,UNCLASSIFIED,UNCLASSIFIED,10,6,0,0,6,BASELINE,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,6BARE_L029_PST,POST,3248242,D317TJX,16,3,12,12,SMALL,YPO,PHOSPHORUS,15,EDX_ELEM15_PHOSPHORUS,5.1143
2604,2026/04/11 2:56:48 PM,AME411_PM4,SS1,3,16,D317TJX0,DIDPF700MMH0,1,-0.901389,-4.863959,0.059,UNCLASSIFIED,UNCLASSIFIED,12,10,0,0,10,HIGHFLIER,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,6BARE_L029_PST,POST,3260828,D317TJX,16,3,12,12,SMALL,YPO,PHOSPHORUS,15,EDX_ELEM15_PHOSPHORUS,3.9845
2604,2026/04/11 2:56:48 PM,AME411_PM4,SS1,3,16,D317TJX0,DIDPF700MMH0,2,0.076025,-11.453383,0.059,UNCLASSIFIED,UNCLASSIFIED,12,10,0,0,10,HIGHFLIER,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,6BARE_L029_PST,POST,3260828,D317TJX,16,3,12,12,SMALL,YPO,OSMIUM,76,EDX_ELEM76_OSMIUM,3.7981
2604,2026/04/11 2:56:48 PM,AME411_PM4,SS1,3,16,D317TJX0,DIDPF700MMH0,6,-25.063992,-19.17464,0.066,UNCLASSIFIED,UNCLASSIFIED,12,10,0,0,10,HIGHFLIER,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,6BARE_L029_PST,POST,3260828,D317TJX,16,3,12,12,SMALL,YPO,OSMIUM,76,EDX_ELEM76_OSMIUM,4.3964
2604,2026/04/11 2:56:48 PM,AME411_PM4,SS1,2,15,D317TJX0,DFEWE639MMA2,3,108.193494,84.491941,0.071,UNCLASSIFIED,UNCLASSIFIED,40,8,0,2,8,BASELINE,OFF,OFF,ON,ON,ON,ON,ICCR2+CV+GF,6BARE_L029_PST,POST,3260850,D317TJX,16,3,12,12,SMALL,YPO,YTTRIUM,39,EDX_ELEM39_YTTRIUM,11.0784
2606,2026/06/04 11:50:13 AM,AME421_PM4,SS1,3,3,D317TJX0,ET2KK542SEF0,13,-15.609913,-9.440091,0.102,UNCLASSIFIED,UNCLASSIFIED,237,225,11,12,175,HIGHFLIER,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,6BARE_L029_PST,POST,3579529,D317TJX,16,3,784,784,SMALL,YPO,YTTRIUM,39,EDX_ELEM39_YTTRIUM,10.619
2606,2026/06/04 11:50:13 AM,AME421_PM4,SS1,3,3,D317TJX0,ET2KK542SEF0,117,-34.778752,51.658966,100,UNCLASSIFIED,UNCLASSIFIED,237,225,11,12,175,HIGHFLIER,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,6BARE_L029_PST,POST,3579529,D317TJX,16,3,784,784,LARGE,YPO,YTTRIUM,39,EDX_ELEM39_YTTRIUM,9.8192
2606,2026/06/04 11:50:13 AM,AME421_PM4,SS1,3,3,D317TJX0,ET2KK542SEF0,117,-34.778752,51.658966,100,UNCLASSIFIED,UNCLASSIFIED,237,225,11,12,175,HIGHFLIER,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,6BARE_L029_PST,POST,3579529,D317TJX,16,3,784,784,LARGE,YPO,OSMIUM,76,EDX_ELEM76_OSMIUM,9.8192
2606,2026/06/04 11:50:13 AM,AME421_PM4,SS1,3,3,D317TJX0,ET2KK542SEF0,136,-60.773007,59.083506,100,UNCLASSIFIED,UNCLASSIFIED,237,225,11,12,175,HIGHFLIER,OFF,OFF,ON,ON,OFF,ON,ICCR2+CV,6BARE_L029_PST,POST,3579529,D317TJX,16,3,784,784,LARGE,YPO,YTTRIUM,39,EDX_ELEM39_YTTRIUM,13.6387
