DEFINITION_NAME,COLUMN_PREFIX,VALUE_COLUMN
DUV_OPC,DUV_OPC,DUV_OPC_VALUE
EQUIP:AMECT_CKV_CCM_SRCIP:DE-AMEct,EQUIP_AMECT_CKV_CCM_SRCIP_DE_AMECT,EQUIP_AMECT_CKV_CCM_SRCIP_DE_AMECT_VALUE
EQUIP:AMECT_GF:DE-AMEct,EQUIP_AMECT_GF_DE_AMECT,EQUIP_AMECT_GF_DE_AMECT_VALUE
EQUIP:AMECT_LIDS:DE-AMEct,EQUIP_AMECT_LIDS_DE_AMECT,EQUIP_AMECT_LIDS_DE_AMECT_VALUE
EQUIP:AMECT_LINERS:DE-AMEct,EQUIP_AMECT_LINERS_DE_AMECT,EQUIP_AMECT_LINERS_DE_AMECT_VALUE
EQUIP:AMECT_TEFLON_SHIM:DE-AMEct,EQUIP_AMECT_TEFLON_SHIM_DE_AMECT,EQUIP_AMECT_TEFLON_SHIM_DE_AMECT_VALUE
EQUIP:BARC_TBF_CIPAMC_8102_1100:LI-TBEbc,EQUIP_BARC_TBF_CIPAMC_8102_1100_LI_TBEBC,EQUIP_BARC_TBF_CIPAMC_8102_1100_LI_TBEBC_VALUE
EQUIP:BARC_TBF_CIPAMC_9110D_1000:LI-TBEbc,EQUIP_BARC_TBF_CIPAMC_9110D_1000_LI_TBEBC,EQUIP_BARC_TBF_CIPAMC_9110D_1000_LI_TBEBC_VALUE
EQUIP:BARC_TBF_CIPAMC_9825_280:LI-TBEbc,EQUIP_BARC_TBF_CIPAMC_9825_280_LI_TBEBC,EQUIP_BARC_TBF_CIPAMC_9825_280_LI_TBEBC_VALUE
EQUIP:BARC_TBF_LPCLEAN:LI-TBEbc,EQUIP_BARC_TBF_LPCLEAN_LI_TBEBC,EQUIP_BARC_TBF_LPCLEAN_LI_TBEBC_VALUE
EQUIP:HRVA3_LEOCB:WE-LEOcb,EQUIP_HRVA3_LEOCB_WE_LEOCB,EQUIP_HRVA3_LEOCB_WE_LEOCB_VALUE
EQUIP:HRVA_LEOCB_1278:WE-LEOcb,EQUIP_HRVA_LEOCB_1278_WE_LEOCB,EQUIP_HRVA_LEOCB_1278_WE_LEOCB_VALUE
EQUIP:HRVA_LEOCB_1278_P2:WE-LEOcb,EQUIP_HRVA_LEOCB_1278_P2_WE_LEOCB,EQUIP_HRVA_LEOCB_1278_P2_WE_LEOCB_VALUE
EQUIP:KOH_TNPPFREE_DRUM:WE-LEOcb,EQUIP_KOH_TNPPFREE_DRUM_WE_LEOCB,EQUIP_KOH_TNPPFREE_DRUM_WE_LEOCB_VALUE
EQUIP:LEOCB_TNPP_FREE_NH4OH:WE-LEOcb,EQUIP_LEOCB_TNPP_FREE_NH4OH_WE_LEOCB,EQUIP_LEOCB_TNPP_FREE_NH4OH_WE_LEOCB_VALUE
EQUIP:LEOCB_TRC_NDTD_ER_PILOT:WE-LEOcb,EQUIP_LEOCB_TRC_NDTD_ER_PILOT_WE_LEOCB,EQUIP_LEOCB_TRC_NDTD_ER_PILOT_WE_LEOCB_VALUE
EQUIP:N58_XPR5:LI-SNYli,EQUIP_N58_XPR5_LI_SNYLI,EQUIP_N58_XPR5_LI_SNYLI_VALUE
EQUIP:R3HRVA_LEOCB_1278:WE-LEOcb,EQUIP_R3HRVA_LEOCB_1278_WE_LEOCB,EQUIP_R3HRVA_LEOCB_1278_WE_LEOCB_VALUE
"EQUIP:TNPPFREEKOH:WE-LEOcb,WE-LEOcb,WE-LEOcb,WE-LEOcb,WE-LEOcb,WE-LEOcb",EQUIP_TNPPFREEKOH_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB,EQUIP_TNPPFREEKOH_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_WE_LEOCB_VALUE
EQUIP:TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626:WE-LEOcb,EQUIP_TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626_WE_LEOCB,EQUIP_TRC_PALL_STPS1_AND_HYBRID_CONFGURATION_FILTERS_PILOT_WW0626_WE_LEOCB_VALUE
MX_HME_DUV,MX_HME_DUV,MX_HME_DUV_VALUE
MX_HM_CLN,MX_HM_CLN,MX_HM_CLN_VALUE
PROCESS:80P_ROADRUNNER:DE-AMEct,PROCESS_80P_ROADRUNNER_DE_AMECT,PROCESS_80P_ROADRUNNER_DE_AMECT_VALUE
PROCESS:80P_ROADRUNNER_W78:DE-AMEct,PROCESS_80P_ROADRUNNER_W78_DE_AMECT,PROCESS_80P_ROADRUNNER_W78_DE_AMECT_VALUE
PROCESS:DE-AMEct,PROCESS_DE_AMECT,PROCESS_DE_AMECT_VALUE
PROCESS:DELTRIM:WE-LEOcb,PROCESS_DELTRIM_WE_LEOCB,PROCESS_DELTRIM_WE_LEOCB_VALUE
