relative_path,file_name,module_name,in_inline_pipeline,in_surf_pipeline,pipeline_membership,is_seed_entrypoint,imported_by_count,imports_count,script_exec_targets_count,edge_types,confidence,rationale
8M5CL_8M6CL_UPDATE.py,8M5CL_8M6CL_UPDATE.py,8M5CL_8M6CL_UPDATE,true,false,INLINE,true,0,5,1,"import,script_exec",High,reachable from inline orchestrator import graph
DEFECT_COORDINATES_QUERY.py,DEFECT_COORDINATES_QUERY.py,DEFECT_COORDINATES_QUERY,true,false,INLINE,false,1,1,0,import,High,reachable from inline orchestrator import graph
WEEKLY_ZERO_RATE_AGGREGATOR.py,WEEKLY_ZERO_RATE_AGGREGATOR.py,WEEKLY_ZERO_RATE_AGGREGATOR,true,false,INLINE,false,1,0,0,none,High,reachable from inline orchestrator import graph
modular_processor\EXTEND_BENCHMARK.py,EXTEND_BENCHMARK.py,modular_processor.EXTEND_BENCHMARK,true,false,INLINE,false,2,2,0,import,High,reachable from inline orchestrator import graph
modular_processor\TIME_BIN_AGGREGATOR.py,TIME_BIN_AGGREGATOR.py,modular_processor.TIME_BIN_AGGREGATOR,true,false,INLINE,false,1,0,0,none,High,reachable from inline orchestrator import graph
modular_processor\__init__.py,__init__.py,modular_processor,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
modular_processor\core\__init__.py,__init__.py,modular_processor.core,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
modular_processor\core\base_processors.py,base_processors.py,modular_processor.core.base_processors,true,false,INLINE,false,7,2,0,import,High,reachable from inline orchestrator import graph
modular_processor\core\column_manager.py,column_manager.py,modular_processor.core.column_manager,true,false,INLINE,false,6,0,0,none,High,reachable from inline orchestrator import graph
modular_processor\core\config.py,config.py,modular_processor.core.config,true,false,INLINE,false,9,1,0,import,High,reachable from inline orchestrator import graph
modular_processor\core\utils.py,utils.py,modular_processor.core.utils,true,false,INLINE,false,6,0,0,none,High,reachable from inline orchestrator import graph
modular_processor\main.py,main.py,modular_processor.main,true,false,INLINE,false,1,4,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\__init__.py,__init__.py,modular_processor.processors,false,false,NEITHER,false,0,0,0,none,Medium,not import-reachable from documented pipeline entrypoints
modular_processor\processors\defect_processor.py,defect_processor.py,modular_processor.processors.defect_processor,true,false,INLINE,false,2,10,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\defect_trends_processor.py,defect_trends_processor.py,modular_processor.processors.defect_trends_processor,true,false,INLINE,false,1,1,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\elwc2_processor.py,elwc2_processor.py,modular_processor.processors.elwc2_processor,true,false,INLINE,false,1,4,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\elwc_processor.py,elwc_processor.py,modular_processor.processors.elwc_processor,true,false,INLINE,false,1,4,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\leak_processors.py,leak_processors.py,modular_processor.processors.leak_processors,true,false,INLINE,false,1,4,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\pump_processor.py,pump_processor.py,modular_processor.processors.pump_processor,true,false,INLINE,false,1,3,0,import,High,reachable from inline orchestrator import graph
modular_processor\processors\spc_processor.py,spc_processor.py,modular_processor.processors.spc_processor,true,false,INLINE,false,1,4,0,import,High,reachable from inline orchestrator import graph
pipeline_config.py,pipeline_config.py,pipeline_config,true,true,BOTH,false,26,0,0,none,High,reachable from both inline and SURF import graphs
reconcile_prune_images.py,reconcile_prune_images.py,reconcile_prune_images,true,true,BOTH,false,2,1,0,import,High,reachable from both inline and SURF import graphs
surf_scan_config.py,surf_scan_config.py,surf_scan_config,false,true,SURF,false,4,0,0,none,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_coordinates.py,surf_scan_coordinates.py,surf_scan_coordinates,false,true,SURF,false,10,2,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_daily.py,surf_scan_daily.py,surf_scan_daily,false,true,SURF,true,0,1,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_elwc_pm_pilot.py,surf_scan_elwc_pm_pilot.py,surf_scan_elwc_pm_pilot,false,true,SURF,false,2,2,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_elwc_pm_stage_backfill.py,surf_scan_elwc_pm_stage_backfill.py,surf_scan_elwc_pm_stage_backfill,false,true,SURF,false,1,3,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_images.py,surf_scan_images.py,surf_scan_images,false,true,SURF,false,1,2,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_incremental.py,surf_scan_incremental.py,surf_scan_incremental,false,true,SURF,true,0,1,0,import,High,reachable from SURF orchestrator/entrypoint import graph
surf_scan_seed.py,surf_scan_seed.py,surf_scan_seed,false,true,SURF,true,0,1,0,import,High,reachable from SURF orchestrator/entrypoint import graph
