YYMM,LOT,LOT7_prod,ACTUAL_LOT_prod,WAFER_ID_prod,LAYER_prod,WAFER_KEY_prod,INSPECTION_TIME_prod,DEFECT_ID_prod,CLASS_prod,FINEBIN_prod,WAFER_X_MM_prod,WAFER_Y_MM_prod,IMAGE_COUNT_prod,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,SUM_NCDD,STATUS,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,BEEP_NCDD,SMP_NCDD,SIZE_X_prod,SIZE_Y_prod,SIZE_D_prod,AREA_prod,MANUAL_OPTICAL_CLASS_prod,INSPECT_TIME_DT,INSPECT_KEY_prod,_KEY,WAFER_KEY_db,INSPECTION_TIME_db,WAFER_ID_db,LOT7_db,ACTUAL_LOT_db,LAYER_db,DEFECT_ID_db,CLASS_db,FINEBIN_db,WAFER_X_MM_db,WAFER_Y_MM_db,IMAGE_COUNT_db,SIZE_X_db,SIZE_Y_db,SIZE_D_db,AREA_db,MANUAL_OPTICAL_CLASS_db,INSPECT_KEY_db,_merge,mismatch_type,LOT_GROUP,WAFER_GROUP,LAYER_GROUP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|1,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,1,NVD_FALSE,NVD_FALSE,-113.027028,-17.239871,4,449,630,630,4061,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|10,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,10,NVD_FALSE,NVD_FALSE,113.917511,-15.351427,4,270,270,270,4170,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|106,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,106,UNCLASSIFIED,UNCLASSIFIED,10.10907,39.362322,0,3239,2880,3239,19976,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|109,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,109,UNCLASSIFIED,UNCLASSIFIED,10.108532,39.380045,0,270,90,270,4652,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|112,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,112,NVD_FALSE,NVD_FALSE,10.09798,39.361011,4,8189,4680,8189,3677400,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|128,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,128,UNCLASSIFIED,UNCLASSIFIED,10.073758,39.362168,0,26459,5220,26460,13308300,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|14,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,14,NVD_FALSE,NVD_FALSE,-59.985643,-14.327419,4,180,180,180,1929,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|15,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,15,DOME,DOME,20.391774,-13.082578,4,809,720,810,11275,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|17,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,17,NVD_FALSE,NVD_FALSE,-32.612405,-12.292291,4,90,180,180,1990,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|18,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,18,NVD_FALSE,NVD_FALSE,123.315699,-12.521041,4,270,360,360,3135,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|185,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,185,UNCLASSIFIED,UNCLASSIFIED,10.048456,39.39844,0,180,90,180,5877,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|19,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,19,NVD_FALSE,NVD_FALSE,14.24482,-11.513877,4,180,360,360,2928,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|192,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,192,UNCLASSIFIED,UNCLASSIFIED,10.044017,39.376825,0,270,360,360,6911,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|202,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,202,UNCLASSIFIED,UNCLASSIFIED,10.040129,39.401406,0,180,270,270,2077,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|212,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,212,UNCLASSIFIED,UNCLASSIFIED,10.032293,39.400686,0,180,270,270,4338,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|213,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,213,UNCLASSIFIED,UNCLASSIFIED,10.026925,39.398485,0,270,270,270,9983,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|220,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,220,UNCLASSIFIED,UNCLASSIFIED,10.015677,39.386691,0,180,180,180,1838,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|230,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,230,UNCLASSIFIED,UNCLASSIFIED,10.007631,39.388534,0,270,180,270,6508,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|231,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,231,NVD_FALSE,NVD_FALSE,127.017344,39.907531,4,180,180,180,2326,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|232,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,232,NVD_FALSE,NVD_FALSE,-64.980161,40.978291,4,90,180,180,1850,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|235,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,235,NVD_FALSE,NVD_FALSE,66.422674,65.586133,4,180,270,270,2928,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|239,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,239,NVD_FALSE,NVD_FALSE,-92.398508,66.276163,4,270,270,270,3373,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|240,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,240,NVD_FALSE,NVD_FALSE,-83.9779,66.767741,4,449,540,540,3545,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|241,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,241,NVD_FALSE,NVD_FALSE,-76.689187,66.726913,4,180,180,180,2010,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|248,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,248,NVD_FALSE,NVD_FALSE,23.572065,70.007867,4,270,270,270,2805,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|251,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,251,NVD_FALSE,NVD_FALSE,96.286485,72.364406,4,90,90,90,1369,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|252,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,252,DOME,DOME,-107.798054,72.661692,4,360,270,360,3127,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|257,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,257,NVD_FALSE,NVD_FALSE,37.483679,77.118177,4,180,180,180,2039,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|259,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,259,NVD_FALSE,NVD_FALSE,112.151374,79.829157,4,360,270,360,2872,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
