relative_path,file_name,file_type,file_size_bytes,file_size_kb,file_size_mb,last_modified,days_since_mod,age_days,depth,top_level_folder,production_vs_debug,suggested_action,suggested_target,confidence,reason
OLD\8M5CL_8M6CL_2025 - Copy.csv,8M5CL_8M6CL_2025 - Copy.csv,.csv,889291,868.45,0.848,2026-01-03 20:08:05,185.1,185.1,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\_compare_csvs.py,_compare_csvs.py,.py,3284,3.21,0.003,2026-04-23 23:04:00,75.0,75.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\_compare_normalized_key.py,_compare_normalized_key.py,.py,3087,3.01,0.003,2026-04-23 23:17:40,75.0,75.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\_compare_overlap.py,_compare_overlap.py,.py,740,0.72,0.001,2026-04-23 23:06:40,75.0,75.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\_compare_unmatched_by_month.py,_compare_unmatched_by_month.py,.py,2972,2.9,0.003,2026-04-23 23:09:28,75.0,75.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\AMEct 1278 Inline Defects Chamber Dispo copy.jsl,AMEct 1278 Inline Defects Chamber Dispo copy.jsl,.jsl,36830,35.97,0.035,2026-04-10 22:06:05,88.1,88.1,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\RF_TRAIN_TEST_VALIDATION.csv,RF_TRAIN_TEST_VALIDATION.csv,.csv,3534,3.45,0.003,2026-01-04 08:16:56,184.6,184.6,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\RF_TRAIN_TEST_VALIDATION.xlsx,RF_TRAIN_TEST_VALIDATION.xlsx,.xlsx,24615,24.04,0.023,2026-01-03 23:08:46,185.0,185.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\RF_TRAIN_TEST_VALIDATION_CORRECTED.csv,RF_TRAIN_TEST_VALIDATION_CORRECTED.csv,.csv,1695,1.66,0.002,2026-01-03 23:14:50,185.0,185.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\RF_TRAIN_TEST_VALIDATION_CORRECTED.xlsx,RF_TRAIN_TEST_VALIDATION_CORRECTED.xlsx,.xlsx,22747,22.21,0.022,2026-01-03 23:14:50,185.0,185.0,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\RF_TRAIN_TEST_VALIDATION_FEATURE_IMPORTANCE.csv,RF_TRAIN_TEST_VALIDATION_FEATURE_IMPORTANCE.csv,.csv,1552,1.52,0.001,2026-01-04 08:16:56,184.6,184.6,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\SPLINE_COMPARE.jsl,SPLINE_COMPARE.jsl,.jsl,3344,3.27,0.003,2026-01-05 20:00:37,183.1,183.1,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\SPLINE_COMPARE_2GROUPBY.jsl,SPLINE_COMPARE_2GROUPBY.jsl,.jsl,3329,3.25,0.003,2026-01-05 21:42:57,183.1,183.1,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
OLD\SPLINE_COMPARE_2YAXES.jsl,SPLINE_COMPARE_2YAXES.jsl,.jsl,3420,3.34,0.003,2026-01-06 05:05:31,182.8,182.8,1,OLD,DEBUG,archive,OLD\,Medium,legacy or superseded output
outputs\defects\_tmp_8M5CL_8M6CL_UPDATE.log,_tmp_8M5CL_8M6CL_UPDATE.log,.log,214618,209.59,0.205,2026-04-24 21:17:39,74.1,74.1,2,outputs,DEBUG,archive,archive\outputs,Medium,generated output or manifest
outputs\defects\_tmp_8M5CL_8M6CL_UPDATE_exec.log,_tmp_8M5CL_8M6CL_UPDATE_exec.log,.log,91806,89.65,0.088,2026-04-24 21:32:24,74.1,74.1,2,outputs,DEBUG,archive,archive\outputs,Medium,generated output or manifest
outputs\surf_scan\ftp_debug\debug_dir_listing.csv,debug_dir_listing.csv,.csv,214,0.21,0.0,2026-06-30 23:21:34,7.0,7.0,3,outputs,DEBUG,archive,archive\outputs,Medium,generated output or manifest
outputs\surf_scan\ftp_debug\debug_image_records.csv,debug_image_records.csv,.csv,1712,1.67,0.002,2026-06-30 23:21:34,7.0,7.0,3,outputs,DEBUG,archive,archive\outputs,Medium,generated output or manifest
rollups\PREvsPST\TW_REGEN_HIST\lot_history_175971_test.py,lot_history_175971_test.py,.py,11108,10.85,0.011,2026-07-06 02:11:20,1.9,1.9,3,rollups,DEBUG,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\TW_REGEN_HIST\lot_history_schema_probe.py,lot_history_schema_probe.py,.py,3079,3.01,0.003,2026-07-06 01:14:16,1.9,1.9,3,rollups,DEBUG,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\TW_REGEN_HIST\probe_movein_175971.py,probe_movein_175971.py,.py,3462,3.38,0.003,2026-07-06 01:23:35,1.9,1.9,3,rollups,DEBUG,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\TW_REGEN_HIST\probe_movein_175971_all_rows.csv,probe_movein_175971_all_rows.csv,.csv,1767,1.73,0.002,2026-07-06 01:23:36,1.9,1.9,3,rollups,DEBUG,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\TW_REGEN_HIST\probe_movein_175971_semantic_window.csv,probe_movein_175971_semantic_window.csv,.csv,352,0.34,0.0,2026-07-06 01:23:36,1.9,1.9,3,rollups,DEBUG,archive,rollups\,Medium,legacy or superseded output
OLD\20260226_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260226_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,121906,119.05,0.116,2026-02-27 00:49:47,130.9,130.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\20260416_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260416_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,137457,134.24,0.131,2026-04-17 05:17:00,81.8,81.8,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\20260417_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260417_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,135627,132.45,0.129,2026-04-17 20:40:19,81.1,81.1,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025.csv,8M5CL_8M6CL_2025.csv,.csv,17534112,17123.16,16.722,2026-01-04 07:04:13,184.7,184.7,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEFECT_TRENDS_CHECK.csv,8M5CL_8M6CL_2025_DEFECT_TRENDS_CHECK.csv,.csv,394984,385.73,0.377,2026-01-05 18:34:53,183.2,183.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_FLEET_BENCHMARK_14DAY.csv,8M5CL_8M6CL_2025_DEVICE_FLEET_BENCHMARK_14DAY.csv,.csv,95793,93.55,0.091,2026-01-11 06:25:47,177.7,177.7,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_PERIODS_11DAY.csv,8M5CL_8M6CL_2025_DEVICE_PERIODS_11DAY.csv,.csv,77713,75.89,0.074,2026-01-11 01:33:14,177.9,177.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_PERIODS_14DAY.csv,8M5CL_8M6CL_2025_DEVICE_PERIODS_14DAY.csv,.csv,67813,66.22,0.065,2026-01-11 01:33:38,177.9,177.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_PERIODS_5DAY.csv,8M5CL_8M6CL_2025_DEVICE_PERIODS_5DAY.csv,.csv,117608,114.85,0.112,2026-01-11 01:33:11,177.9,177.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_PERIODS_7DAY.csv,8M5CL_8M6CL_2025_DEVICE_PERIODS_7DAY.csv,.csv,76960,75.16,0.073,2026-01-11 01:38:14,177.9,177.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_DEVICE_ROLLING_7DAY.csv,8M5CL_8M6CL_2025_DEVICE_ROLLING_7DAY.csv,.csv,2489107,2430.77,2.374,2026-01-11 01:12:41,177.9,177.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_LOT.csv,8M5CL_8M6CL_2025_LOT.csv,.csv,4952879,4836.8,4.723,2026-01-05 19:08:29,183.2,183.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_SPC_CHECK.csv,8M5CL_8M6CL_2025_SPC_CHECK.csv,.csv,8070420,7881.27,7.697,2026-01-05 17:25:38,183.2,183.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_UPDATE.csv,8M5CL_8M6CL_2025_UPDATE.csv,.csv,15933768,15560.32,15.196,2026-01-05 19:09:19,183.2,183.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_2025_UPDATED.csv,8M5CL_8M6CL_2025_UPDATED.csv,.csv,17340191,16933.78,16.537,2026-01-05 04:39:57,183.8,183.8,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\8M5CL_8M6CL_EXTENDED.csv,8M5CL_8M6CL_EXTENDED.csv,.csv,4421579,4317.95,4.217,2026-04-23 18:55:56,75.2,75.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\DEFECT_COORDINATES_EXTENDED.csv,DEFECT_COORDINATES_EXTENDED.csv,.csv,2002558,1955.62,1.91,2026-04-23 19:04:56,75.2,75.2,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\PILOT_STATUS.jsl,PILOT_STATUS.jsl,.jsl,3232,3.16,0.003,2026-04-30 20:02:26,68.1,68.1,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\PXSA_PYZA_X78C_WAFER.jmp,PXSA_PYZA_X78C_WAFER.jmp,.jmp,2097595,2048.43,2.0,2026-01-06 05:02:02,182.8,182.8,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\TIME_BIN_AGGREGATOR.py,TIME_BIN_AGGREGATOR.py,.py,17407,17.0,0.017,2026-01-23 16:21:28,165.3,165.3,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\TIME_BIN_AGGREGATOR_ELWC_SPC.py,TIME_BIN_AGGREGATOR_ELWC_SPC.py,.py,11172,10.91,0.011,2026-01-13 00:38:23,175.9,175.9,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\validator.py,validator.py,.py,16200,15.82,0.015,2026-01-03 20:20:28,185.1,185.1,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
OLD\X78D_WAFER.jmp,X78D_WAFER.jmp,.jmp,1933324,1888.01,1.844,2026-01-06 04:11:26,182.8,182.8,1,OLD,PRODUCTION,archive,OLD\,Medium,legacy or superseded output
outputs\8M5CL_8M6CL_UPDATE_run_capture.log,8M5CL_8M6CL_UPDATE_run_capture.log,.log,414550,404.83,0.395,2026-04-24 21:07:03,74.1,74.1,1,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260226_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260226_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,121906,119.05,0.116,2026-02-27 00:49:47,130.9,130.9,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260416_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260416_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,137457,134.24,0.131,2026-04-17 05:17:00,81.8,81.8,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260417_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260417_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,135627,132.45,0.129,2026-04-17 20:40:19,81.1,81.1,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260423_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260423_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,137948,134.71,0.132,2026-04-23 22:34:13,75.0,75.0,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260427_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260427_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,139625,136.35,0.133,2026-04-27 16:04:08,71.3,71.3,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260503_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260503_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,141266,137.96,0.135,2026-05-03 14:27:39,65.4,65.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260510_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260510_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,143467,140.1,0.137,2026-05-11 00:13:53,58.0,58.0,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260517_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260517_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,145129,141.73,0.138,2026-05-17 14:26:53,51.4,51.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260525_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260525_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,146264,142.84,0.139,2026-05-25 14:26:54,43.4,43.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260531_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260531_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,147870,144.4,0.141,2026-05-31 14:26:59,37.4,37.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260607_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260607_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,149676,146.17,0.143,2026-06-07 14:27:05,30.4,30.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260614_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260614_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,151501,147.95,0.144,2026-06-14 14:26:51,23.4,23.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
outputs\benchmarks\20260621_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,20260621_8M5CL_8M6CL_202606_FLEET_BENCHMARK_ELWC_7DAY.csv,.csv,152559,148.98,0.145,2026-06-21 14:27:04,16.4,16.4,2,outputs,PRODUCTION,archive,archive\outputs,Medium,generated output or manifest
