Completeness Log — AME409_PM6
Generated : 2026-07-09 20:30:38
────────────────────────────────────────────────────────────────
Inventory : 104 files scanned, 104 parsed, 0 skipped
LOTs in library : 12

Coord rows (chamber)        : 177
Coord rows with IMAGE_COUNT>0: 177
Missing from image library  : 119

LOT7         DEFECT     CNT   LAYER    WAFER_KEY      INSPECTION_TIME
─────────────────────────────────────────────────────────────────────
D439827      7463       5     8M5CL    5493274        2025-02-24 14:44:42
D433870      718        5     8M6CL    5261062        2025-03-03 04:03:33
D446856      5232       5     8M6CL    5767671        2025-03-20 12:52:19
D502856      12409      5     8M6CL    6054060        2025-04-29 15:38:08
D502856      1725       5     8M6CL    6054145        2025-04-29 15:38:08
D502856      12430      5     8M6CL    6054060        2025-04-29 15:38:08
D434Y88      32602      5     8M6CL    5307810        2025-04-29 21:48:27
D501800      1796       5     8M6CL    6015079        2025-05-01 17:22:32
D449YMP      169        5     8M6CL    5899658        2025-05-11 20:44:03
D501894      1675       5     8M6CL    6029022        2025-05-11 21:10:21
D506868      146        4     8M6CL    6205033        2025-05-30 03:31:26
D502985      329        4     8M6CL    6063056        2025-06-16 06:59:41
D502985      3174       4     8M6CL    6063056        2025-06-16 06:59:41
D502EPP      177        5     8M5CL    6065535        2025-06-20 04:51:12
D502EPP      5035       5     8M5CL    6065548        2025-06-20 04:51:12
D502EPP      1043       5     8M5CL    6065535        2025-06-20 04:51:12
D518921      71         5     8M5CL    6655406        2025-12-13 04:00:22
D518921      337        5     8M5CL    6655495        2025-12-13 04:00:22
D518921      24         5     8M5CL    6655495        2025-12-13 04:00:22
D533427      1685       5     8M5CL    7176186        2025-12-18 17:13:16
D533427      1689       5     8M5CL    7176186        2025-12-18 17:13:16
D530636      47         4     8M6CL    7791906        2025-12-19 20:24:17
D530636      35         4     8M6CL    7791860        2025-12-19 20:24:17
D531202      194398     5     8M5CL    7838261        2025-12-21 10:01:58
D533422      7200       5     8M5CL    7175142        2025-12-22 20:41:42
D533422      56639      5     8M5CL    7175169        2025-12-22 20:41:42
D533422      53789      5     8M5CL    7175169        2025-12-22 20:41:42
D533422      298        5     8M5CL    7175142        2025-12-22 20:41:42
D534470      82         5     8M5CL    7210318        2025-12-23 12:40:29
D532305      27251      5     8M5CL    7851090        2025-12-23 22:33:02
D532298      4451       5     8M5CL    7150623        2025-12-24 00:15:19
D531202      88452      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88481      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88457      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88470      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88458      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88464      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88446      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      31         4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88473      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      88453      4     8M6CL    7838219        2025-12-24 17:30:15
D531202      188676     4     8M6CL    7838261        2025-12-24 17:30:15
D532302      371        5     8M5CL    7153504        2025-12-25 15:25:28
D529951      252        4     8M6CL    7061934        2026-01-01 06:07:38
D529951      65         4     8M6CL    7061934        2026-01-01 06:07:38
D529951      283        4     8M6CL    7061949        2026-01-01 06:07:38
D526856      5099       5     8M5CL    7890237        2026-01-01 14:04:21
D526856      3216       5     8M5CL    7890266        2026-01-01 14:04:21
D537642      217        5     8M5CL    7311064        2026-01-11 20:07:48
D537642      4688       5     8M5CL    7311064        2026-01-11 20:07:48
D537642      2093       5     8M5CL    7311064        2026-01-11 20:07:48
D537642      656        5     8M5CL    7311064        2026-01-11 20:07:48
D537642      657        5     8M5CL    7311064        2026-01-11 20:07:48
D537642      4638       5     8M5CL    7311064        2026-01-11 20:07:48
D537642      655        5     8M5CL    7311064        2026-01-11 20:07:48
D533436      3117       5     8M5CL    7178457        2026-01-14 15:31:13
D533436      527        5     8M5CL    7178580        2026-01-14 15:31:13
D533436      186        5     8M5CL    7178457        2026-01-14 15:31:13
D533436      130        5     8M5CL    7178580        2026-01-14 15:31:13
D511302      383        5     8M5CL    7824079        2026-01-26 13:12:23
D511302      539        5     8M5CL    7824422        2026-01-26 13:12:23
D511302      609        5     8M5CL    7823491        2026-01-26 13:12:23
D511302      459        5     8M5CL    7824079        2026-01-26 13:12:23
D511302      397        5     8M5CL    7823773        2026-01-26 13:12:23
D511302      460        5     8M5CL    7824079        2026-01-26 13:12:23
D511302      974        5     8M5CL    7823491        2026-01-26 13:12:23
D511302      645        5     8M5CL    7823491        2026-01-26 13:12:23
D511302      387        5     8M5CL    7824422        2026-01-26 13:12:23
D511302      443        5     8M5CL    7824079        2026-01-26 13:12:23
D511302      597        5     8M5CL    7824079        2026-01-26 13:12:23
D511302      254        5     8M5CL    7823594        2026-01-26 13:12:23
D543526      91         5     8M5CL    7518930        2026-02-08 04:44:24
