"run_id","pair_set","variant","repeat","select_pairs_s","copy_inputs_s","classify_s","total_s","timing_per_pair_s","pairs","images","result_rows"
"clean_mx_20260726_p1_baseline_r1","p1","baseline","1","0.334","1.413","12.016","13.933","13.933","1","2","2"
"clean_mx_20260726_p1_baseline_r2","p1","baseline","2","0.233","1.366","9.341","11.12","11.12","1","2","2"
"clean_mx_20260726_p1_baseline_r3","p1","baseline","3","0.287","1.215","11.015","12.681","12.681","1","2","2"
"clean_mx_20260726_p1_prompt_short_r1","p1","prompt_short","1","0.308","1.5","11.786","13.775","13.775","1","2","2"
"clean_mx_20260726_p1_prompt_short_r2","p1","prompt_short","2","0.233","1.457","10.478","12.353","12.353","1","2","2"
"clean_mx_20260726_p1_prompt_short_r3","p1","prompt_short","3","0.271","1.321","9.517","11.274","11.274","1","2","2"
"clean_mx_20260726_p1_cap180_r1","p1","cap180","1","0.461","1.432","10.744","12.835","12.835","1","2","2"
"clean_mx_20260726_p1_cap180_r2","p1","cap180","2","0.25","1.389","10.232","12.049","12.049","1","2","2"
"clean_mx_20260726_p1_cap180_r3","p1","cap180","3","0.249","1.426","10.694","12.539","12.539","1","2","2"
"clean_mx_20260726_p5_baseline_r1","p5","baseline","1","0.996","6.693","39.709","47.562","9.512","5","10","10"
"clean_mx_20260726_p5_baseline_r2","p5","baseline","2","1.223","6.922","38.427","46.747","9.349","5","10","10"
"clean_mx_20260726_p5_baseline_r3","p5","baseline","3","1.124","7.193","40.915","49.399","9.88","5","10","10"
"clean_mx_20260726_p5_prompt_short_r1","p5","prompt_short","1","1.004","7.036","37.792","45.995","9.199","5","10","10"
"clean_mx_20260726_p5_prompt_short_r2","p5","prompt_short","2","0.929","6.836","65.414","73.343","14.669","5","10","10"
"clean_mx_20260726_p5_prompt_short_r3","p5","prompt_short","3","1.114","6.607","40.346","48.256","9.651","5","10","10"
"clean_mx_20260726_p5_cap180_r1","p5","cap180","1","2.226","14.273","53.56","70.461","14.092","5","10","10"
"clean_mx_20260726_p5_cap180_r2","p5","cap180","2","1.145","7.835","42.052","51.202","10.24","5","10","10"
"clean_mx_20260726_p5_cap180_r3","p5","cap180","3","1.107","6.732","40.025","48.05","9.61","5","10","10"
