"run_id","pair_set","variant","repeat","select_pairs_s","copy_inputs_s","classify_s","total_s","timing_per_pair_s","pairs","images","result_rows"
"clean_mx_20260726_p5_baseline_r1","p5","baseline","1","0.996","6.693","39.709","47.562","9.512","5","10","10"
"clean_mx_20260726_p5_baseline_r2","p5","baseline","2","1.223","6.922","38.427","46.747","9.349","5","10","10"
"clean_mx_20260726_p5_baseline_r3","p5","baseline","3","1.124","7.193","40.915","49.399","9.88","5","10","10"
"clean_mx_20260726_p5_baseline_r4","p5","baseline","4","1.006","7.195","41.143","49.501","9.9","5","10","10"
"clean_mx_20260726_p5_baseline_r5","p5","baseline","5","0.912","6.592","37.208","44.877","8.975","5","10","10"
"clean_mx_20260726_p5_baseline_r6","p5","baseline","6","0.974","7.701","40.965","49.826","9.965","5","10","10"
"clean_mx_20260726_p5_baseline_r7","p5","baseline","7","1.004","6.817","40.167","48.158","9.632","5","10","10"
"clean_mx_20260726_p5_baseline_r8","p5","baseline","8","1.545","8.115","41.482","51.345","10.269","5","10","10"
"clean_mx_20260726_p5_prompt_short_r1","p5","prompt_short","1","1.004","7.036","37.792","45.995","9.199","5","10","10"
"clean_mx_20260726_p5_prompt_short_r2","p5","prompt_short","2","0.929","6.836","65.414","73.343","14.669","5","10","10"
"clean_mx_20260726_p5_prompt_short_r3","p5","prompt_short","3","1.114","6.607","40.346","48.256","9.651","5","10","10"
"clean_mx_20260726_p5_prompt_short_r4","p5","prompt_short","4","1.084","7.781","40.723","49.761","9.952","5","10","10"
"clean_mx_20260726_p5_prompt_short_r5","p5","prompt_short","5","1.359","7.725","38.578","47.863","9.573","5","10","10"
"clean_mx_20260726_p5_prompt_short_r6","p5","prompt_short","6","1.057","6.984","44.018","52.217","10.443","5","10","10"
"clean_mx_20260726_p5_prompt_short_r7","p5","prompt_short","7","0.97","6.738","38.873","46.744","9.349","5","10","10"
"clean_mx_20260726_p5_prompt_short_r8","p5","prompt_short","8","0.999","6.37","36.636","44.305","8.861","5","10","10"
"clean_mx_20260726_p5_cap180_r1","p5","cap180","1","2.226","14.273","53.56","70.461","14.092","5","10","10"
"clean_mx_20260726_p5_cap180_r2","p5","cap180","2","1.145","7.835","42.052","51.202","10.24","5","10","10"
"clean_mx_20260726_p5_cap180_r3","p5","cap180","3","1.107","6.732","40.025","48.05","9.61","5","10","10"
"clean_mx_20260726_p5_cap180_r4","p5","cap180","4","1.03","6.341","46.39","53.952","10.79","5","10","10"
"clean_mx_20260726_p5_cap180_r5","p5","cap180","5","1.629","6.142","38.606","46.546","9.309","5","10","10"
"clean_mx_20260726_p5_cap180_r6","p5","cap180","6","0.871","6.527","38.12","45.693","9.139","5","10","10"
"clean_mx_20260726_p5_cap180_r7","p5","cap180","7","1.031","6.505","61.253","68.968","13.794","5","10","10"
"clean_mx_20260726_p5_cap180_r8","p5","cap180","8","1.096","6.841","57.648","65.747","13.149","5","10","10"
