benchmark_id,split,source_pool,selection_batch,wafer_key,inspection_time,defect_id,pair_key,bright_image_name,dark_image_name,bright_image_path,dark_image_path,query_site,tool_name,chamber,factory_class_label,manual_optical_class,stage_a_orientation,stage_a_context_confidence,stage_b_defect_coarse_class,stage_b_blocked_etch_evidence,stage_b_review_required,adjudicated_by,adjudicated_at_utc,adjudication_status,adjudicated_coarse_class,adjudicated_blocked_etch_evidence,adjudicated_confidence,comparator_visible,occlusion_present,offset_surface_lines_present,sunken_residual_continuity_present,comparator_boundary_line_present,mult_particles_present,review_required_expected,failure_mode_primary,failure_mode_secondary,notes_short
BMK_0001,,non_beep_control,14day_2632,8425615,8/3/2026 19:58,10911,8425615_20260803_195852_10911,260803_1800_D616465_064_SMP_8M6CL_10911_2.jpg,260803_1800_D616465_064_SMP_8M6CL_10911_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260803_1800_D616465_064_SMP_8M6CL_10911_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260803_1800_D616465_064_SMP_8M6CL_10911_3.jpg,D1V,BPD446,AME403_PM3,SMALL_PARTICLE,0,,,,,,,,,b,s,h,y,y,y,,,,y,,,"Left edge of material straddling the trench matches is inset, ever so slightly, from Si0 bridge across the trench.  Right side of material shows a different behavior, where material is located on perfect line on top of trench edges."
BMK_0002,,non_beep_control,14day_2632,8425615,8/3/2026 19:58,11558,8425615_20260803_195852_11558,260803_1800_D616465_064_SMP_8M6CL_11558_2.jpg,260803_1800_D616465_064_SMP_8M6CL_11558_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260803_1800_D616465_064_SMP_8M6CL_11558_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260803_1800_D616465_064_SMP_8M6CL_11558_3.jpg,D1V,BPD446,AME403_PM3,SMALL_PARTICLE,0,,,,,,,,,b,m,m,y,y,n,,,,y,,,Upper portion of defect is falling in to comparator and shows a line exactly where it falls over the edge.
BMK_0004,,non_beep_control,14day_2632,8441579,8/3/2026 19:17,2172,8441579_20260803_191749_2172,260803_1754_D616533_204_SMP_8M6CL_2172_2.jpg,260803_1754_D616533_204_SMP_8M6CL_2172_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260803_1754_D616533_204_SMP_8M6CL_2172_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260803_1754_D616533_204_SMP_8M6CL_2172_3.jpg,D1V,BPD448,AME401_PM1,SMALL_PARTICLE,2,,,,,,,,,b,m,m,y,y,n,,,,y,,,"Material defect lying in between two comparators is cut sharply on top edge of one comparator and extends, ever so slightly into the upper comparator with a contrast line in the material matching where the upper comparator (lower) edge should be."
BMK_0005,,non_beep_control,14day_2632,8441579,8/3/2026 19:17,3139,8441579_20260803_191749_3139,260803_1754_D616533_204_SMP_8M6CL_3139_2.jpg,260803_1754_D616533_204_SMP_8M6CL_3139_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260803_1754_D616533_204_SMP_8M6CL_3139_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260803_1754_D616533_204_SMP_8M6CL_3139_3.jpg,D1V,BPD448,AME401_PM1,SMALL_PARTICLE,2,,,,,,,,,b,m,m,y,y,y,,,,y,,,Two of three separate material defects occlude two different comparators.  One slightly shows lines inset on top of SiO extension into comparator and other shows extension into comparator with contrast line matching expected comparator boundary.
BMK_0009,,non_beep_control,14day_2632,8438048,8/3/2026 13:56,3110,8438048_20260803_135628_3110,260802_1913_D616521_130_SMP_8M5CL_3110_2.jpg,260802_1913_D616521_130_SMP_8M5CL_3110_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME417_PM5\260802_1913_D616521_130_SMP_8M5CL_3110_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME417_PM5\260802_1913_D616521_130_SMP_8M5CL_3110_3.jpg,D1V,BPD436,AME417_PM5,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0021,,non_beep_control,14day_2632,8553214,8/2/2026 14:25,1163,8553214_20260802_142534_1163,260802_1256_D619289_829_SMP_8M5CL_1163_2.jpg,260802_1256_D619289_829_SMP_8M5CL_1163_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260802_1256_D619289_829_SMP_8M5CL_1163_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260802_1256_D619289_829_SMP_8M5CL_1163_3.jpg,D1V,BPD436,AME421_PM3,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0027,,non_beep_control,14day_2632,8425706,8/1/2026 13:06,217017,8425706_20260801_130647_217017,260801_1057_D616469_178_SMP_8M5CL_217017_2.jpg,260801_1057_D616469_178_SMP_8M5CL_217017_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260801_1057_D616469_178_SMP_8M5CL_217017_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260801_1057_D616469_178_SMP_8M5CL_217017_3.jpg,D1V,BPD446,AME421_PM2,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0042,,non_beep_control,14day_2632,8487295,7/29/2026 0:11,1020,8487295_20260729_001115_1020,260728_2313_D617642_538_SMP_8M5CL_1020_2.jpg,260728_2313_D617642_538_SMP_8M5CL_1020_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_2313_D617642_538_SMP_8M5CL_1020_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_2313_D617642_538_SMP_8M5CL_1020_3.jpg,D1V,BPD458,AME403_PM3,SMALL_PARTICLE,83,,,,,,,,,b,,,,,,,,,,,,
BMK_0045,,non_beep_control,14day_2632,8487295,7/29/2026 0:11,989,8487295_20260729_001115_989,260728_2313_D617642_538_SMP_8M5CL_989_2.jpg,260728_2313_D617642_538_SMP_8M5CL_989_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_2313_D617642_538_SMP_8M5CL_989_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_2313_D617642_538_SMP_8M5CL_989_3.jpg,D1V,BPD458,AME403_PM3,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0055,,non_beep_control,14day_2632,9019173,7/28/2026 13:36,443,9019173_20260728_133639_443,260728_1227_D616507_307_SMP_8M6CL_443_2.jpg,260728_1227_D616507_307_SMP_8M6CL_443_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM6\260728_1227_D616507_307_SMP_8M6CL_443_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM6\260728_1227_D616507_307_SMP_8M6CL_443_3.jpg,D1V,BPD450,AME421_PM6,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0063,,non_beep_control,14day_2632,8425175,7/28/2026 4:11,48353,8425175_20260728_041148_48353,260728_0330_D616470_019_SMP_8M6CL_48353_2.jpg,260728_0330_D616470_019_SMP_8M6CL_48353_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_0330_D616470_019_SMP_8M6CL_48353_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_0330_D616470_019_SMP_8M6CL_48353_3.jpg,D1V,BPD448,AME403_PM3,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0064,,non_beep_control,14day_2632,8425175,7/28/2026 4:11,99528,8425175_20260728_041148_99528,260728_0330_D616470_019_SMP_8M6CL_99528_2.jpg,260728_0330_D616470_019_SMP_8M6CL_99528_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_0330_D616470_019_SMP_8M6CL_99528_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260728_0330_D616470_019_SMP_8M6CL_99528_3.jpg,D1V,BPD448,AME403_PM3,SMALL_PARTICLE,2,,,,,,,,,b,,,,,,,,,,,,
BMK_0065,,non_beep_control,14day_2632,8524357,7/28/2026 3:50,64,8524357_20260728_035017_64,260728_0233_D618205_005_SMP_8M6CL_64_2.jpg,260728_0233_D618205_005_SMP_8M6CL_64_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260728_0233_D618205_005_SMP_8M6CL_64_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260728_0233_D618205_005_SMP_8M6CL_64_3.jpg,D1V,BPD444,AME421_PM2,SMALL_PARTICLE,83,,,,,,,,,b,,,,,,,,,,,,
BMK_0074,,non_beep_control,14day_2632,8483217,7/27/2026 16:40,31,8483217_20260727_164041_31,260727_1324_D617630_340_SMP_8M6CL_31_2.jpg,260727_1324_D617630_340_SMP_8M6CL_31_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260727_1324_D617630_340_SMP_8M6CL_31_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260727_1324_D617630_340_SMP_8M6CL_31_3.jpg,D1V,BPD442,AME425_PM4,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
