"pair_key","bright_path","dark_path"
"9004285|2026-07-23 06:07:44|50255","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM2\260723_0259_D615973_542_SMP_8M6CL_50255_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM2\260723_0259_D615973_542_SMP_8M6CL_50255_3.jpg"
"8979113|2026-07-19 13:06:31|113395","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260719_1100_D614177_060_SMP_8M5CL_113395_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260719_1100_D614177_060_SMP_8M5CL_113395_3.jpg"
"8979112|2026-07-22 10:00:53|16092","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM6\260722_0918_D614177_062_SMP_8M6CL_16092_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM6\260722_0918_D614177_062_SMP_8M6CL_16092_3.jpg"
"8978714|2026-07-22 11:14:19|4239","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_4239_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_4239_3.jpg"
"8978714|2026-07-22 11:14:19|337","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_337_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_337_3.jpg"
"8978714|2026-07-22 11:14:19|3015","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3015_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3015_3.jpg"
"8939600|2026-07-13 04:30:49|22","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260713_0258_D616458_117_SMP_8M5CL_22_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260713_0258_D616458_117_SMP_8M5CL_22_3.jpg"
"8939600|2026-07-13 04:30:49|142580","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260713_0258_D616458_117_SMP_8M5CL_142580_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260713_0258_D616458_117_SMP_8M5CL_142580_3.jpg"
"8937540|2026-07-15 19:22:40|15","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260715_1843_D615452_082_SMP_8M6CL_15_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME409_PM3\260715_1843_D615452_082_SMP_8M6CL_15_3.jpg"
"8923788|2026-07-14 00:07:49|8767","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2315_D615277_307_SMP_8M6CL_8767_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2315_D615277_307_SMP_8M6CL_8767_3.jpg"
