YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2603,D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026/03/31 12:35:37 AM,2,SMALL_PARTICLE,SMALL_PARTICLE,6.978283,-16.986457,4,AME401_PM1,P_78_GABON_R1,2026/03/30 8:33:18 PM,2026/03/31 12:35:37 AM,BPD432,ICCR2+CV+GF,0.014337,BSL,0,0.014337,378,ICCR2,1
2604,D6031730,D603173,D6031730,MCK3J197WAG2,8M6CL,7940774,2026/04/01 11:06:12 AM,3,SMALL_PARTICLE,SMALL_PARTICLE,-5.019339,-8.618225,4,AME421_PM6,P_78_GABON_R1,2026/04/01 9:10:28 AM,2026/04/01 11:06:12 AM,BPD442,SRCIP,0.003584,BSL,0,0.003584,333,SRCIP,1
2603,D5491210,D549121,D5491210,KJ6GY332WFG5,8M5CL,7742379,2026/03/22 11:40:02 AM,27,SMALL_PARTICLE,SMALL_PARTICLE,4.79361,-3.969672,5,AME409_PM4,P_78_GABON_B10_R3,2026/03/22 10:27:12 AM,2026/03/22 11:40:02 AM,BPD450,ICCR2+CV+GF,0.003659,BSL,0,0.003659,531,ICCR2,1
2604,D5523380,D552338,D5523380,GT7EJ246JKB7,8M6CL,7849137,2026/04/09 3:48:11 PM,287,SMALL_PARTICLE,SMALL_PARTICLE,-9.737938,9.648629,4,AME403_PM2,P_78_GABON_R1,2026/04/09 12:56:54 PM,2026/04/09 3:48:11 PM,BPD450,ICCR2+CV,0.007105,BSL,0,0.007105,74,ICCR2,1
2602,D5413440,D541344,D5413440,GR9YR175JKE4,8M6CL,7451773,2026/02/06 2:27:52 PM,1,SMALL_PARTICLE,SMALL_PARTICLE,5.12392,-16.774602,4,AME411_PM4,P_78_GABON_R1,2026/02/06 12:38:19 PM,2026/02/06 2:27:52 PM,BPD432,ICCR2+CV+GF,0.014337,BSL,0,0.014337,1803,ICCR2,1
2603,D5491220,D549122,D5491220,5DWYB347MVB3,8M6CL,7742509,2026/03/31 12:35:37 AM,7,SMALL_PARTICLE,SMALL_PARTICLE,16.443998,-12.561544,4,AME401_PM1,P_78_GABON_R1,2026/03/30 8:33:18 PM,2026/03/31 12:35:37 AM,BPD432,ICCR2+CV+GF,0.014337,BSL,0,0.014337,378,ICCR2,1
2601,D5311390,D531139,D5311390,GQ0HQ185JKG7,8M6CL,7107203,2026/01/11 8:20:41 PM,304,SMALL_PARTICLE,SMALL_PARTICLE,-2.85343,14.50307,4,AME409_PM5,P_78_GABON_R1,2026/01/11 6:34:28 PM,2026/01/11 8:20:41 PM,BPD446,ICCR2+CV+GF,0.010827,BSL,0,0.010827,2244,ICCR2,1
2603,D5491220,D549122,D5491220,5DWYB318MVG7,8M6CL,7742439,2026/03/31 12:35:37 AM,2,SMALL_PARTICLE,SMALL_PARTICLE,10.423156,-1.357928,4,AME401_PM1,P_78_GABON_R1,2026/03/30 8:08:15 PM,2026/03/31 12:35:37 AM,BPD432,ICCR2+CV+GF,0.007105,BSL,0,0.007105,381,ICCR2,1
2603,D5484930,D548493,D5484930,GT3FZ405JKB4,8M5CL,7702178,2026/03/22 3:24:14 AM,618,SMALL_PARTICLE,SMALL_PARTICLE,-17.490366,8.022633,5,AME409_PM5,P_78_GABON_B10_R3,2026/03/22 1:31:42 AM,2026/03/22 3:24:14 AM,BPD446,ICCR2+CV+GF,0.003609,BSL,0,0.003609,538,ICCR2,1
2512,D5295350,D529535,D5295350,GP1JU003JKB7,8M6CL,7031352,2025/12/18 3:51:14 PM,73,SMALL_PARTICLE,SMALL_PARTICLE,-5.110587,-18.486281,4,AME423_PM1,P_78_GABON_R1,2025/12/18 12:21:30 PM,2025/12/18 3:51:14 PM,BPD454,ICCR2+CV+GF,0.003584,BSL,0,0.003584,2727,ICCR2,1
