YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,Column 14,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2602,D5451920,D545192,D5451920,GS6CV566JKE5,8M6CL,7594338,2026/02/21 8:29:29 AM,237,SMALL_PARTICLE,SMALL_PARTICLE,-43.918207,-131.209871,19144.839154,4,AME417_PM6,P_78_GABON_R1,2026/02/21 6:28:45 AM,2026/02/21 8:29:29 AM,BPD432,ICCR2+CV+GF,0.003553,BSL,0,0.003553,1129,ICCR2,1
2602,D5435500Z,D543550,D5435500Z,A22TX114SLH1,8M5CL,8166762,2026/02/24 9:27:17 PM,2196,SMALL_PARTICLE,SMALL_PARTICLE,121.378242,55.462979,17808.819671,5,AME411_PM1,P_78_GABON_B10_R3,2026/02/24 8:03:48 PM,2026/02/24 9:27:17 PM,BPD454,SRCIP,0.003659,BSL,0,0.003659,1065,SRCIP,1
2512,D5366270,D536627,D5366270,KJ3PT502WFD4,8M5CL,7291887,2025/12/26 9:57:30 AM,2818,SMALL_PARTICLE,SMALL_PARTICLE,-87.560691,101.723619,18014.569271,5,AME409_PM5,P_78_GABON_B10_R3,2025/12/26 8:57:50 AM,2025/12/26 9:57:30 AM,BPD446,ICCR2+CV+GF,0.012148,BSL,0.006074,0.006074,2553,ICCR2,1
2604,D6028500,D602850,D6028500,KJ7KR759WFB4,8M5CL,7903175,2026/04/06 4:04:37 PM,126681,SMALL_PARTICLE,SMALL_PARTICLE,23.239158,137.941921,19568.032034,5,AME411_PM2,P_78_GABON_B10_R3,2026/04/06 2:51:14 PM,2026/04/06 4:04:37 PM,BPD458,ICCR2+CV+GF,0.003247,BSL,0,0.003247,159,ICCR2,1
2603,D5355230,D535523,D5355230,GP8YG811JKG7,8M6CL,7250665,2026/03/31 1:03:35 AM,764,SMALL_PARTICLE,SMALL_PARTICLE,18.641241,-133.392331,18141.009836,4,AME409_PM6,P_78_GABON_R1,2026/03/30 11:37:05 PM,2026/03/31 1:03:35 AM,BPD436,ICCR2+CV,0.010827,BSL,0,0.010827,377,ICCR2,1
2602,D5451780,D545178,D5451780,KJ57R007WFB3,8M6CL,7591253,2026/02/20 8:40:28 AM,91,SMALL_PARTICLE,SMALL_PARTICLE,-133.566504,-28.619978,18659.114132,4,AME403_PM2,P_78_GABON_R1,2026/02/20 7:12:02 AM,2026/02/20 8:40:28 AM,BPD454,ICCR2+CV,0.003584,BSL,0,0.003584,1145,ICCR2,1
2601,D5344830,D534483,D5344830,GQ8TY416JKB4,8M6CL,7214838,2026/01/05 6:25:20 AM,48,SMALL_PARTICLE,SMALL_PARTICLE,-130.829754,-31.238605,18092.274974,4,AME427_PM2,P_78_GABON,2026/01/05 4:53:41 AM,2026/01/05 6:25:20 AM,BPD450,POR+CV+GF,0.010658,BSL,0,0.010658,2321,POR,1
2604,D6015410,D601541,D6015410,GT5VX305JKB6,8M5CL,7869572,2026/04/07 9:15:06 AM,640,SMALL_PARTICLE,SMALL_PARTICLE,-20.630828,135.135964,18687.35983,5,AME411_PM1,P_78_GABON_B10_R3,2026/04/07 8:02:20 AM,2026/04/07 9:15:06 AM,BPD432,SRCIP,0.011075,BSL,0,0.011075,130,SRCIP,1
2601,D5413140,D541314,D5413140,GS1YD088JKC5,8M6CL,7443370,2026/01/29 7:22:03 AM,144,SMALL_PARTICLE,SMALL_PARTICLE,134.679658,-40.038593,19741.699208,4,AME417_PM2,P_78_GABON_R1,2026/01/29 3:16:09 AM,2026/01/29 7:22:03 AM,BPD448,ICCR2+CV+GF,0.017763,BSL,0,0.017763,1986,ICCR2,1
2603,D5435550T,D543555,D5435550T,GS4VR111JKB3,8M5CL,8223877,2026/03/07 11:28:32 AM,1280,SMALL_PARTICLE,SMALL_PARTICLE,-112.334423,86.151048,20041.025662,5,AME411_PM1,P_78_GABON_B10_R3,2026/03/07 10:21:08 AM,2026/03/07 11:28:32 AM,BPD442,SRCIP,0.003692,BSL,0,0.003692,818,SRCIP,1
2601,D526E0L0,D526E0L,D526E0L0,KHUHJ246WFC7,8M5CL,6944908,2026/01/16 4:13:06 PM,520,SMALL_PARTICLE,SMALL_PARTICLE,10.59705,-135.96881,18599.814762,5,AME409_PM5,P_78_GABON_B10_R3,2026/01/16 3:03:39 PM,2026/01/16 4:13:06 PM,BPD450,ICCR2+CV+GF,0.013184,BSL,0,0.013184,2178,ICCR2,1
2603,D5501870,D550187,D5501870,GT4TS326JKF2,8M5CL,7782366,2026/03/10 11:23:47 AM,1883,SMALL_PARTICLE,SMALL_PARTICLE,-2.168916,134.098974,17987.239024,5,AME421_PM6,P_78_GABON_B10_R3,2026/03/10 10:35:24 AM,2026/03/10 11:23:47 AM,BPD450,SRCIP,0.003659,BSL,0,0.003659,759,SRCIP,1
2601,D5355450,D535545,D5355450,GR0QX166JKC4,8M5CL,7261641,2026/01/08 9:29:31 AM,1842,SMALL_PARTICLE,SMALL_PARTICLE,-31.404384,133.708739,18864.262219,5,AME411_PM2,P_78_GABON_B10_R3,2026/01/08 8:24:10 AM,2026/01/08 9:29:31 AM,BPD448,ICCR2+CV+GF,0.01049,BSL,0,0.01049,2295,ICCR2,1
2601,D5322970S,D532297,D5322970S,A1YQA053SLD2,8M5CL,7985424,2026/01/21 7:22:42 PM,904,SMALL_PARTICLE,SMALL_PARTICLE,115.224556,-74.531921,18831.705553,5,AME421_PM6,P_78_GABON_B10_R3,2026/01/21 12:53:21 PM,2026/01/21 7:22:42 PM,BPD442,SRCIP,0.003692,BSL,0,0.003692,2096,SRCIP,1
2601,D5272890,D527289,D5272890,A1TU4161SLD4,8M6CL,6959553,2026/01/08 8:31:10 AM,87,SMALL_PARTICLE,SMALL_PARTICLE,-126.948636,-44.173613,18067.264268,4,AME403_PM6,P_78_GABON,2026/01/08 7:23:29 AM,2026/01/08 8:31:10 AM,BPD436,POR+CV,0.003609,BSL,0,0.003609,2299,POR,1
2604,D6015060,D601506,D6015060,5DXAI209MVG3,8M6CL,7873216,2026/04/03 3:29:45 PM,60,SMALL_PARTICLE,SMALL_PARTICLE,-128.439092,51.75589,19175.272503,4,AME403_PM3,P_78_GABON_R1,2026/04/03 1:37:39 PM,2026/04/03 3:29:45 PM,BPD458,ICCR2+CV,0.014437,BSL,0,0.014437,242,ICCR2,1
2602,D544974A,D544974,D544974A,GS9CS322JKF3,8M6CL,7705238,2026/02/18 12:27:23 PM,248390,SMALL_PARTICLE,SMALL_PARTICLE,100.425487,-91.361607,18432.221673,4,AME417_PM3,P_78_GABON_R1,2026/02/17 9:52:51 PM,2026/02/18 12:27:23 PM,BPD448,CCMR2+ICCR2+CV+GF,0.007674,BSL,0,0.007674,1242,CCMR2,1
2601,D541909A,D541909,D541909A,GR8XT884JDG2,8M5CL,7833170,2026/01/14 11:28:56 PM,152,SMALL_PARTICLE,SMALL_PARTICLE,-138.489002,1.911741,19182.858429,5,AME411_PM2,P_78_GABON_B10_R3,2026/01/14 9:56:50 PM,2026/01/14 11:28:56 PM,BPD454,ICCR2+CV+GF,0.018845,BSL,0.010978,0.007867,2200,ICCR2,1
2603,D5495990,D549599,D5495990,KJ69F474WFF2,8M6CL,7738707,2026/03/31 10:02:56 PM,83,SMALL_PARTICLE,SMALL_PARTICLE,-123.450009,61.993045,19083.04235,4,AME419_PM3,P_78_GABON_R1,2026/03/31 7:06:12 PM,2026/03/31 10:02:56 PM,BPD432,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105,367,ICCR2,1
2601,D5402120,D540212,D5402120,GS1QE056JKB2,8M5CL,7411977,2026/01/22 12:41:38 PM,4998,SMALL_PARTICLE,SMALL_PARTICLE,-16.73642,-132.881574,17937.620463,5,AME401_PM3,P_78_GABON_B10_R3,2026/01/22 10:39:59 AM,2026/01/22 12:41:38 PM,BPD444,ICCR2+CV+GF,0.003659,BSL,0,0.003659,2073,ICCR2,1
2601,D541909A,D541909,D541909A,GR8XT887JDE2,8M5CL,7952664,2026/01/14 11:28:56 PM,1112,SMALL_PARTICLE,SMALL_PARTICLE,-114.849604,76.346942,19019.287092,5,AME411_PM2,P_78_GABON_B10_R3,2026/01/14 9:49:13 PM,2026/01/14 11:28:56 PM,BPD454,ICCR2+CV+GF,0.007383,BSL,0,0.007383,2201,ICCR2,1
2602,D5306170T,D530617,D5306170T,GP0RU684JKA0,8M5CL,8054368,2026/02/02 7:14:11 PM,1050,SMALL_PARTICLE,SMALL_PARTICLE,-19.029098,135.441484,18706.502159,5,AME423_PM2,P_78_GABON_B10_R3,2026/02/02 2:52:45 PM,2026/02/02 7:14:11 PM,BPD450,ICCR2+CV+GF,0.003584,BSL,0,0.003584,1875,ICCR2,1
2603,D5491160,D549116,D5491160,MCK3P017WAC7,8M6CL,7742220,2026/03/28 4:13:09 AM,41,SMALL_PARTICLE,SMALL_PARTICLE,-128.082848,38.288874,17871.253824,4,AME419_PM4,P_78_GABON_R1,2026/03/28 2:14:58 AM,2026/03/28 4:13:09 AM,BPD444,ICCR2+CV+GF,0.003584,BSL,0,0.003584,453,ICCR2,1
2604,D5501410,D550141,D5501410,KJ7HE527WFE2,8M5CL,7768986,2026/04/07 5:12:54 AM,134,SMALL_PARTICLE,SMALL_PARTICLE,134.585404,11.881408,18254.398826,5,AME417_PM6,P_78_GABON_B10_R3,2026/04/07 3:28:19 AM,2026/04/07 5:12:54 AM,BPD432,ICCR2+CV+GF,0.007218,BSL,0,0.007218,137,ICCR2,1
2603,D547ERF0,D547ERF,D547ERF0,KJ69G486WFD7,8M6CL,7699134,2026/03/28 9:49:22 PM,2714,SMALL_PARTICLE,SMALL_PARTICLE,-43.393563,-130.423843,18893.380133,6,AME403_PM5,P_78_ROADRUNNER_R1,2026/03/28 8:36:25 PM,2026/03/28 9:49:22 PM,BPD432,ICCR2+CV+GF,0.010546,BSL,0.005273,0.005273,447,ICCR2,1
2601,D5344830,D534483,D5344830,GQ8TY413JKD4,8M6CL,7214941,2026/01/05 6:25:20 AM,168,SMALL_PARTICLE,SMALL_PARTICLE,122.221452,-60.237328,18566.619014,4,AME427_PM2,P_78_GABON,2026/01/05 5:14:49 AM,2026/01/05 6:25:20 AM,BPD450,POR+CV+GF,0.007168,BSL,0,0.007168,2319,POR,1
2604,D5512400,D551240,D5512400,GT5JE508JKG4,8M6CL,7804964,2026/04/10 12:30:54 PM,23,SMALL_PARTICLE,SMALL_PARTICLE,106.127585,-81.849832,17962.459296,4,AME421_PM6,P_78_GABON_R1,2026/04/10 10:35:25 AM,2026/04/10 12:30:54 PM,BPD446,SRCIP,0.003553,BSL,0,0.003553,45,SRCIP,1
2603,D5409890,D540989,D5409890,GQ9FQ332JKC7,8M6CL,7433701,2026/03/01 8:38:23 PM,316,SMALL_PARTICLE,SMALL_PARTICLE,124.149921,63.172434,19403.959302,4,AME417_PM6,P_78_GABON_R1,2026/03/01 2:35:17 PM,2026/03/01 8:38:23 PM,BPD448,ICCR2+CV+GF,0.007105,BSL,0,0.007105,943,ICCR2,1
2603,D5435400,D543540,D5435400,KJ40T256WFD1,8M6CL,7524996,2026/03/07 6:03:04 AM,2740,SMALL_PARTICLE,SMALL_PARTICLE,-28.297943,-132.375252,18323.98092,4,AME417_PM4,P_78_GABON_R1,2026/03/07 3:53:36 AM,2026/03/07 6:03:04 AM,BPD454,CCMR2+ICCR2+CV+GF,0.017763,BSL,0.007105,0.010658,833,CCMR2,1
2601,D5379310,D537931,D5379310,MCE1N017WAH0,8M6CL,7320655,2026/01/04 8:54:23 AM,88,SMALL_PARTICLE,SMALL_PARTICLE,-85.265294,-104.651029,18222.008232,4,AME417_PM5,P_78_GABON_R1,2026/01/04 7:27:39 AM,2026/01/04 8:54:23 AM,BPD444,ICCR2+CV+GF,0.011265,BSL,0,0.011265,2351,ICCR2,1
2603,D5491240,D549124,D5491240,GU6EW669JDF5,8M5CL,7744959,2026/03/22 12:53:33 AM,387,SMALL_PARTICLE,SMALL_PARTICLE,110.509024,76.185232,18016.43396,5,AME409_PM4,P_78_GABON_B10_R3,2026/03/21 11:09:58 PM,2026/03/22 12:53:33 AM,BPD454,ICCR2+CV+GF,0.003692,BSL,0,0.003692,543,ICCR2,1
2601,D542936A,D542936,D542936A,KJ4AD387WFG0,8M5CL,7614904,2026/01/13 2:10:17 AM,5742,SMALL_PARTICLE,SMALL_PARTICLE,70.540775,-119.299087,19208.273097,5,AME417_PM6,P_78_GABON_B10_R3,2026/01/12 3:21:17 PM,2026/01/13 2:10:17 AM,BPD444,ICCR2+CV+GF,0.016059,BSL,0.005353,0.010706,2224,ICCR2,1
2601,D5344700,D534470,D5344700,GQ9FR255JKD6,8M6CL,7210318,2026/01/02 2:12:26 PM,341,SMALL_PARTICLE,SMALL_PARTICLE,-24.268706,-134.402093,18652.892694,4,AME427_PM6,P_78_GABON,2026/01/02 12:04:24 PM,2026/01/02 2:12:26 PM,BPD448,POR+CV+GF,0.014436,BSL,0.003609,0.010827,2390,POR,1
2512,D5344800,D534480,D5344800,GQ4SC653JKB0,8M5CL,7212242,2025/12/14 3:53:05 PM,3076,SMALL_PARTICLE,SMALL_PARTICLE,-17.54281,-134.12649,18297.665502,5,AME401_PM2,P_78_GABON_B10_R3,2025/12/14 2:06:58 PM,2025/12/14 3:53:05 PM,BPD458,ICCR2+CV+GF,0.014964,BSL,0,0.014964,2770,ICCR2,1
